Datum Zeit,Dresden-Nord PM10
,µg/m³
30-11-02,24
29-11-02,34
28-11-02,34
27-11-02,34
26-11-02,49
25-11-02,32
24-11-02,21
23-11-02,24
22-11-02,48
21-11-02,35
20-11-02,19
19-11-02,21
18-11-02,40
17-11-02,17
16-11-02,56
15-11-02,52
14-11-02,38
13-11-02,34
12-11-02,37
11-11-02,18
10-11-02,23
09-11-02,7
08-11-02,26
07-11-02,49
06-11-02,38
05-11-02,21
04-11-02,20
03-11-02,14
02-11-02,18
01-11-02,46

