Datum Zeit,Schwartenberg PM2.5
,µg/m³
30-11-02,
29-11-02,5.64
28-11-02,
27-11-02,4.94
26-11-02,
25-11-02,7.43
24-11-02,
23-11-02,2.33
22-11-02,
21-11-02,6.44
20-11-02,
19-11-02,1.96
18-11-02,
17-11-02,1.56
16-11-02,
15-11-02,8.43
14-11-02,
13-11-02,12.93
12-11-02,
11-11-02,3.88
10-11-02,
09-11-02,5.89
08-11-02,
07-11-02,21.19
06-11-02,
05-11-02,12.32
04-11-02,
03-11-02,7.31
02-11-02,
01-11-02,10.49

