Datum Zeit,Zwickau-Werdauer Straße PM10
,µg/m³
28-02-10,16
27-02-10,20
26-02-10,13
25-02-10,23
24-02-10,
23-02-10,11
22-02-10,20
21-02-10,12
20-02-10,19
19-02-10,59
18-02-10,43
17-02-10,60
16-02-10,50
15-02-10,32
14-02-10,26
13-02-10,21
12-02-10,34
11-02-10,103
10-02-10,91
09-02-10,53
08-02-10,44
07-02-10,61
06-02-10,55
05-02-10,42
04-02-10,18
03-02-10,8
02-02-10,13
01-02-10,16

