Datum Zeit,Leipzig-West PM10
,µg/m³
28-02-10,10
27-02-10,12
26-02-10,10
25-02-10,15
24-02-10,19
23-02-10,11
22-02-10,14
21-02-10,17
20-02-10,20
19-02-10,43
18-02-10,50
17-02-10,66
16-02-10,40
15-02-10,35
14-02-10,39
13-02-10,15
12-02-10,16
11-02-10,70
10-02-10,83
09-02-10,50
08-02-10,30
07-02-10,52
06-02-10,59
05-02-10,39
04-02-10,20
03-02-10,7
02-02-10,14
01-02-10,17

