Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-08-10,8.96
30-08-10,7.49
29-08-10,4.37
28-08-10,4.15
27-08-10,6.36
26-08-10,16.74
25-08-10,31.91
24-08-10,17.72
23-08-10,12.62
22-08-10,15.41
21-08-10,18.82
20-08-10,18.78
19-08-10,14.05
18-08-10,8.80
17-08-10,
16-08-10,7.56
15-08-10,13.76
14-08-10,9.81
13-08-10,16.24
12-08-10,20.84
11-08-10,26.02
10-08-10,25.40
09-08-10,19.76
08-08-10,13.94
07-08-10,11.90
06-08-10,17.36
05-08-10,40.32
04-08-10,23.88
03-08-10,19.22
02-08-10,30.70
01-08-10,11.33

