Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-08-10,5.56
30-08-10,7.99
29-08-10,5.61
28-08-10,4.09
27-08-10,6.47
26-08-10,8.90
25-08-10,7.17
24-08-10,5.93
23-08-10,10.19
22-08-10,11.43
21-08-10,15.52
20-08-10,13.29
19-08-10,9.65
18-08-10,7.97
17-08-10,7.78
16-08-10,
15-08-10,
14-08-10,
13-08-10,
12-08-10,
11-08-10,14.61
10-08-10,13.06
09-08-10,9.59
08-08-10,11.05
07-08-10,
06-08-10,
05-08-10,15.45
04-08-10,11.97
03-08-10,16.07
02-08-10,11.71
01-08-10,10.25

