Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-08-10,8.06
30-08-10,8.52
29-08-10,5.74
28-08-10,5.31
27-08-10,8.91
26-08-10,11.41
25-08-10,8.29
24-08-10,7.05
23-08-10,9.33
22-08-10,12.91
21-08-10,15.99
20-08-10,14.00
19-08-10,11.59
18-08-10,8.46
17-08-10,6.29
16-08-10,8.12
15-08-10,13.89
14-08-10,7.48
13-08-10,19.41
12-08-10,14.85
11-08-10,18.04
10-08-10,14.97
09-08-10,12.98
08-08-10,13.27
07-08-10,11.87
06-08-10,21.63
05-08-10,13.67
04-08-10,13.04
03-08-10,14.79
02-08-10,14.82
01-08-10,13.49

