Datum Zeit,Bautzen O3
,µg/m³
01-09-10 00:00,41
31-08-10 23:00,28
31-08-10 22:00,28
31-08-10 21:00,39
31-08-10 20:00,38
31-08-10 19:00,48
31-08-10 18:00,43
31-08-10 17:00,45
31-08-10 16:00,52
31-08-10 15:00,58
31-08-10 14:00,53
31-08-10 13:00,40
31-08-10 12:00,49
31-08-10 11:00,51
31-08-10 10:00,45
31-08-10 09:00,39
31-08-10 08:00,39
31-08-10 07:00,35
31-08-10 06:00,31
31-08-10 05:00,32
31-08-10 04:00,44
31-08-10 03:00,45
31-08-10 02:00,40
31-08-10 01:00,34
31-08-10 00:00,40
30-08-10 23:00,50
30-08-10 22:00,56
30-08-10 21:00,50
30-08-10 20:00,50
30-08-10 19:00,36
30-08-10 18:00,26
30-08-10 17:00,38
30-08-10 16:00,37
30-08-10 15:00,41
30-08-10 14:00,54
30-08-10 13:00,60
30-08-10 12:00,57
30-08-10 11:00,60
30-08-10 10:00,62
30-08-10 09:00,47
30-08-10 08:00,43
30-08-10 07:00,35
30-08-10 06:00,43
30-08-10 05:00,47
30-08-10 04:00,52
30-08-10 03:00,51
30-08-10 02:00,47
30-08-10 01:00,44
30-08-10 00:00,40
29-08-10 23:00,41
29-08-10 22:00,40
29-08-10 21:00,39
29-08-10 20:00,43
29-08-10 19:00,47
29-08-10 18:00,54
29-08-10 17:00,58
29-08-10 16:00,61
29-08-10 15:00,63
29-08-10 14:00,60
29-08-10 13:00,66
29-08-10 12:00,62
29-08-10 11:00,59
29-08-10 10:00,55
29-08-10 09:00,51
29-08-10 08:00,47
29-08-10 07:00,50
29-08-10 06:00,50
29-08-10 05:00,53
29-08-10 04:00,55
29-08-10 03:00,53
29-08-10 02:00,59
29-08-10 01:00,54
29-08-10 00:00,46
28-08-10 23:00,38
28-08-10 22:00,40
28-08-10 21:00,37
28-08-10 20:00,43
28-08-10 19:00,57
28-08-10 18:00,59
28-08-10 17:00,65
28-08-10 16:00,70
28-08-10 15:00,66
28-08-10 14:00,67
28-08-10 13:00,64
28-08-10 12:00,56
28-08-10 11:00,51
28-08-10 10:00,55
28-08-10 09:00,53
28-08-10 08:00,51
28-08-10 07:00,61
28-08-10 06:00,60
28-08-10 05:00,59
28-08-10 04:00,54
28-08-10 03:00,50
28-08-10 02:00,29
28-08-10 01:00,46
28-08-10 00:00,55
27-08-10 23:00,57
27-08-10 22:00,54
27-08-10 21:00,54
27-08-10 20:00,59
27-08-10 19:00,62
27-08-10 18:00,46
27-08-10 17:00,47
27-08-10 16:00,34
27-08-10 15:00,35
27-08-10 14:00,43
27-08-10 13:00,55
27-08-10 12:00,55
27-08-10 11:00,51
27-08-10 10:00,52
27-08-10 09:00,57
27-08-10 08:00,52
27-08-10 07:00,52
27-08-10 06:00,42
27-08-10 05:00,46
27-08-10 04:00,41
27-08-10 03:00,38
27-08-10 02:00,38
27-08-10 01:00,44
27-08-10 00:00,38
26-08-10 23:00,35
26-08-10 22:00,21
26-08-10 21:00,32
26-08-10 20:00,48
26-08-10 19:00,56
26-08-10 18:00,47
26-08-10 17:00,27
26-08-10 16:00,45
26-08-10 15:00,46
26-08-10 14:00,45
26-08-10 13:00,47
26-08-10 12:00,48
26-08-10 11:00,62
26-08-10 10:00,56
26-08-10 09:00,39
26-08-10 08:00,35
26-08-10 07:00,33
26-08-10 06:00,46
26-08-10 05:00,57
26-08-10 04:00,59
26-08-10 03:00,58
26-08-10 02:00,55
26-08-10 01:00,54
26-08-10 00:00,55
25-08-10 23:00,54
25-08-10 22:00,48
25-08-10 21:00,46
25-08-10 20:00,45
25-08-10 19:00,59
25-08-10 18:00,72
25-08-10 17:00,71
25-08-10 16:00,74
25-08-10 15:00,70
25-08-10 14:00,75
25-08-10 13:00,74
25-08-10 12:00,71
25-08-10 11:00,62
25-08-10 10:00,58
25-08-10 09:00,55
25-08-10 08:00,52
25-08-10 07:00,47
25-08-10 06:00,50
25-08-10 05:00,58
25-08-10 04:00,65
25-08-10 03:00,68
25-08-10 02:00,71
25-08-10 01:00,70
25-08-10 00:00,73
24-08-10 23:00,76
24-08-10 22:00,72
24-08-10 21:00,67
24-08-10 20:00,72
24-08-10 19:00,73
24-08-10 18:00,66
24-08-10 17:00,59
24-08-10 16:00,60
24-08-10 15:00,61
24-08-10 14:00,62
24-08-10 13:00,66
24-08-10 12:00,73
24-08-10 11:00,58
24-08-10 10:00,54
24-08-10 09:00,51
24-08-10 08:00,36
24-08-10 07:00,36
24-08-10 06:00,35
24-08-10 05:00,46
24-08-10 04:00,50
24-08-10 03:00,53
24-08-10 02:00,51
24-08-10 01:00,62
24-08-10 00:00,66
23-08-10 23:00,69
23-08-10 22:00,67
23-08-10 21:00,64
23-08-10 20:00,64
23-08-10 19:00,63
23-08-10 18:00,72
23-08-10 17:00,74
23-08-10 16:00,68
23-08-10 15:00,67
23-08-10 14:00,85
23-08-10 13:00,87
23-08-10 12:00,86
23-08-10 11:00,75
23-08-10 10:00,63
23-08-10 09:00,51
23-08-10 08:00,45
23-08-10 07:00,45
23-08-10 06:00,38
23-08-10 05:00,43
23-08-10 04:00,37
23-08-10 03:00,49
23-08-10 02:00,51
23-08-10 01:00,57
23-08-10 00:00,63
22-08-10 23:00,68
22-08-10 22:00,72
22-08-10 21:00,57
22-08-10 20:00,58
22-08-10 19:00,64
22-08-10 18:00,94
22-08-10 17:00,128
22-08-10 16:00,146
22-08-10 15:00,145
22-08-10 14:00,134
22-08-10 13:00,126
22-08-10 12:00,123
22-08-10 11:00,129
22-08-10 10:00,117
22-08-10 09:00,90
22-08-10 08:00,87
22-08-10 07:00,90
22-08-10 06:00,83
22-08-10 05:00,70
22-08-10 04:00,69
22-08-10 03:00,76
22-08-10 02:00,79
22-08-10 01:00,86
22-08-10 00:00,92
21-08-10 23:00,85
21-08-10 22:00,74
21-08-10 21:00,53
21-08-10 20:00,83
21-08-10 19:00,133
21-08-10 18:00,141
21-08-10 17:00,129
21-08-10 16:00,130
21-08-10 15:00,130
21-08-10 14:00,124
21-08-10 13:00,120
21-08-10 12:00,116
21-08-10 11:00,113
21-08-10 10:00,95
21-08-10 09:00,79
21-08-10 08:00,79
21-08-10 07:00,79
21-08-10 06:00,85
21-08-10 05:00,89
21-08-10 04:00,97
21-08-10 03:00,100
21-08-10 02:00,101
21-08-10 01:00,89
21-08-10 00:00,71
20-08-10 23:00,55
20-08-10 22:00,48
20-08-10 21:00,34
20-08-10 20:00,61
20-08-10 19:00,95
20-08-10 18:00,114
20-08-10 17:00,113
20-08-10 16:00,111
20-08-10 15:00,109
20-08-10 14:00,107
20-08-10 13:00,105
20-08-10 12:00,100
20-08-10 11:00,97
20-08-10 10:00,79
20-08-10 09:00,72
20-08-10 08:00,59
20-08-10 07:00,14
20-08-10 06:00,4
20-08-10 05:00,11
20-08-10 04:00,31
20-08-10 03:00,43
20-08-10 02:00,48
20-08-10 01:00,51
20-08-10 00:00,50
19-08-10 23:00,48
19-08-10 22:00,48
19-08-10 21:00,46
19-08-10 20:00,41
19-08-10 19:00,67
19-08-10 18:00,89
19-08-10 17:00,89
19-08-10 16:00,87
19-08-10 15:00,81
19-08-10 14:00,66
19-08-10 13:00,80
19-08-10 12:00,75
19-08-10 11:00,56
19-08-10 10:00,43
19-08-10 09:00,39
19-08-10 08:00,39
19-08-10 07:00,32
19-08-10 06:00,36
19-08-10 05:00,49
19-08-10 04:00,57
19-08-10 03:00,62
19-08-10 02:00,59
19-08-10 01:00,55
19-08-10 00:00,40
18-08-10 23:00,37
18-08-10 22:00,48
18-08-10 21:00,32
18-08-10 20:00,43
18-08-10 19:00,57
18-08-10 18:00,64
18-08-10 17:00,63
18-08-10 16:00,61
18-08-10 15:00,72
18-08-10 14:00,63
18-08-10 13:00,62
18-08-10 12:00,59
18-08-10 11:00,51
18-08-10 10:00,46
18-08-10 09:00,47
18-08-10 08:00,46
18-08-10 07:00,52
18-08-10 06:00,57
18-08-10 05:00,66
18-08-10 04:00,79
18-08-10 03:00,83
18-08-10 02:00,91
18-08-10 01:00,76
