Datum Zeit,Chemnitz-Leipziger Str. PM10_HVS
,µg/m³
31-03-18,
30-03-18,
29-03-18,
28-03-18,
27-03-18,
26-03-18,
25-03-18,
24-03-18,
23-03-18,
22-03-18,
21-03-18,
20-03-18,
19-03-18,
18-03-18,19.19
17-03-18,17.30
16-03-18,24.08
15-03-18,18.65
14-03-18,10.80
13-03-18,9.69
12-03-18,19.22
11-03-18,18.46
10-03-18,19.17
09-03-18,14.80
08-03-18,14.75
07-03-18,40.83
06-03-18,41.51
05-03-18,59.89
04-03-18,49.10
03-03-18,61.04
02-03-18,52.03
01-03-18,35.29

