Datum Zeit,Zittau-Ost PM10_HVS
,µg/m³
31-03-18,
30-03-18,
29-03-18,
28-03-18,
27-03-18,
26-03-18,
25-03-18,
24-03-18,
23-03-18,
22-03-18,
21-03-18,
20-03-18,
19-03-18,23.13
18-03-18,23.35
17-03-18,18.81
16-03-18,27.83
15-03-18,27.37
14-03-18,17.90
13-03-18,6.96
12-03-18,
11-03-18,
10-03-18,
09-03-18,
08-03-18,12.16
07-03-18,31.77
06-03-18,43.48
05-03-18,50.70
04-03-18,54.37
03-03-18,71.08
02-03-18,75.89
01-03-18,55.98

