Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-03-12,3.65
30-03-12,3.16
29-03-12,9.89
28-03-12,22.10
27-03-12,26.37
26-03-12,13.72
25-03-12,12.37
24-03-12,29.43
23-03-12,25.10
22-03-12,25.66
21-03-12,28.73
20-03-12,16.54
19-03-12,6.45
18-03-12,16.65
17-03-12,31.31
16-03-12,27.97
15-03-12,31.87
14-03-12,14.72
13-03-12,5.97
12-03-12,9.92
11-03-12,7.66
10-03-12,23.79
09-03-12,15.88
08-03-12,10.38
07-03-12,26.55
06-03-12,24.39
05-03-12,21.86
04-03-12,28.63
03-03-12,18.21
02-03-12,33.94
01-03-12,20.16

