Datum Zeit,Niesky PM10
,µg/m³
31-03-12,7
30-03-12,9
29-03-12,17
28-03-12,35
27-03-12,33
26-03-12,14
25-03-12,17
24-03-12,23
23-03-12,26
22-03-12,28
21-03-12,31
20-03-12,21
19-03-12,9
18-03-12,20
17-03-12,43
16-03-12,37
15-03-12,29
14-03-12,13
13-03-12,9
12-03-12,8
11-03-12,14
10-03-12,24
09-03-12,20
08-03-12,24
07-03-12,35
06-03-12,
05-03-12,26
04-03-12,22
03-03-12,12
02-03-12,25
01-03-12,15

