Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-03-12,6.25
30-03-12,1.78
29-03-12,13.56
28-03-12,23.17
27-03-12,19.64
26-03-12,11.56
25-03-12,14.11
24-03-12,25.53
23-03-12,30.19
22-03-12,31.55
21-03-12,28.64
20-03-12,15.04
19-03-12,10.77
18-03-12,10.66
17-03-12,20.54
16-03-12,20.99
15-03-12,26.02
14-03-12,18.00
13-03-12,8.06
12-03-12,7.08
11-03-12,8.74
10-03-12,18.78
09-03-12,16.55
08-03-12,10.27
07-03-12,32.64
06-03-12,25.31
05-03-12,24.50
04-03-12,21.95
03-03-12,19.76
02-03-12,22.25
01-03-12,17.92

