Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-03-12,6.05
30-03-12,4.79
29-03-12,13.33
28-03-12,28.43
27-03-12,26.84
26-03-12,14.91
25-03-12,20.96
24-03-12,31.64
23-03-12,28.65
22-03-12,27.12
21-03-12,28.51
20-03-12,20.42
19-03-12,8.32
18-03-12,12.38
17-03-12,32.32
16-03-12,36.50
15-03-12,30.05
14-03-12,12.65
13-03-12,6.81
12-03-12,7.98
11-03-12,9.67
10-03-12,21.00
09-03-12,14.75
08-03-12,19.18
07-03-12,32.40
06-03-12,25.27
05-03-12,23.38
04-03-12,21.19
03-03-12,14.89
02-03-12,33.20
01-03-12,20.46

