Datum Zeit,Collmberg PM2.5
,µg/m³
31-03-12,3.51
30-03-12,3.30
29-03-12,10.03
28-03-12,27.22
27-03-12,28.70
26-03-12,11.56
25-03-12,14.37
24-03-12,24.78
23-03-12,18.78
22-03-12,21.31
21-03-12,26.73
20-03-12,15.97
19-03-12,6.22
18-03-12,16.29
17-03-12,23.96
16-03-12,22.02
15-03-12,29.97
14-03-12,12.27
13-03-12,3.26
12-03-12,4.25
11-03-12,5.74
10-03-12,23.04
09-03-12,13.41
08-03-12,11.28
07-03-12,29.07
06-03-12,22.03
05-03-12,21.34
04-03-12,21.00
03-03-12,12.49
02-03-12,25.95
01-03-12,10.09

