Datum Zeit,Radebeul-Wahnsdorf O3
,µg/m³
01-04-12 00:00,61
31-03-12 23:00,61
31-03-12 22:00,65
31-03-12 21:00,68
31-03-12 20:00,73
31-03-12 19:00,77
31-03-12 18:00,85
31-03-12 17:00,81
31-03-12 16:00,86
31-03-12 15:00,88
31-03-12 14:00,86
31-03-12 13:00,78
31-03-12 12:00,72
31-03-12 11:00,74
31-03-12 10:00,73
31-03-12 09:00,69
31-03-12 08:00,70
31-03-12 07:00,71
31-03-12 06:00,74
31-03-12 05:00,70
31-03-12 04:00,59
31-03-12 03:00,59
31-03-12 02:00,57
31-03-12 01:00,59
31-03-12 00:00,63
30-03-12 23:00,61
30-03-12 22:00,62
30-03-12 21:00,63
30-03-12 20:00,62
30-03-12 19:00,63
30-03-12 18:00,63
30-03-12 17:00,64
30-03-12 16:00,65
30-03-12 15:00,70
30-03-12 14:00,71
30-03-12 13:00,64
30-03-12 12:00,60
30-03-12 11:00,58
30-03-12 10:00,61
30-03-12 09:00,64
30-03-12 08:00,60
30-03-12 07:00,62
30-03-12 06:00,66
30-03-12 05:00,67
30-03-12 04:00,70
30-03-12 03:00,71
30-03-12 02:00,71
30-03-12 01:00,72
30-03-12 00:00,74
29-03-12 23:00,73
29-03-12 22:00,74
29-03-12 21:00,73
29-03-12 20:00,71
29-03-12 19:00,72
29-03-12 18:00,70
29-03-12 17:00,70
29-03-12 16:00,72
29-03-12 15:00,74
29-03-12 14:00,76
29-03-12 13:00,78
29-03-12 12:00,75
29-03-12 11:00,75
29-03-12 10:00,77
29-03-12 09:00,76
29-03-12 08:00,77
29-03-12 07:00,80
29-03-12 06:00,82
29-03-12 05:00,88
29-03-12 04:00,89
29-03-12 03:00,93
29-03-12 02:00,88
29-03-12 01:00,81
29-03-12 00:00,83
28-03-12 23:00,82
28-03-12 22:00,76
28-03-12 21:00,81
28-03-12 20:00,81
28-03-12 19:00,84
28-03-12 18:00,91
28-03-12 17:00,98
28-03-12 16:00,101
28-03-12 15:00,96
28-03-12 14:00,88
28-03-12 13:00,76
28-03-12 12:00,72
28-03-12 11:00,69
28-03-12 10:00,54
28-03-12 09:00,42
28-03-12 08:00,44
28-03-12 07:00,40
28-03-12 06:00,34
28-03-12 05:00,29
28-03-12 04:00,29
28-03-12 03:00,32
28-03-12 02:00,43
28-03-12 01:00,54
28-03-12 00:00,54
27-03-12 23:00,54
27-03-12 22:00,53
27-03-12 21:00,57
27-03-12 20:00,65
27-03-12 19:00,68
27-03-12 18:00,68
27-03-12 17:00,73
27-03-12 16:00,77
27-03-12 15:00,82
27-03-12 14:00,76
27-03-12 13:00,67
27-03-12 12:00,66
27-03-12 11:00,68
27-03-12 10:00,58
27-03-12 09:00,42
27-03-12 08:00,27
27-03-12 07:00,28
27-03-12 06:00,32
27-03-12 05:00,43
27-03-12 04:00,42
27-03-12 03:00,37
27-03-12 02:00,35
27-03-12 01:00,27
27-03-12 00:00,43
26-03-12 23:00,58
26-03-12 22:00,74
26-03-12 21:00,75
26-03-12 20:00,78
26-03-12 19:00,75
26-03-12 18:00,77
26-03-12 17:00,81
26-03-12 16:00,82
26-03-12 15:00,82
26-03-12 14:00,83
26-03-12 13:00,80
26-03-12 12:00,70
26-03-12 11:00,55
26-03-12 10:00,52
26-03-12 09:00,38
26-03-12 08:00,20
26-03-12 07:00,28
26-03-12 06:00,26
26-03-12 05:00,43
26-03-12 04:00,37
26-03-12 03:00,39
26-03-12 02:00,42
26-03-12 01:00,44
26-03-12 00:00,46
25-03-12 23:00,49
25-03-12 22:00,53
25-03-12 21:00,55
25-03-12 20:00,67
25-03-12 19:00,81
25-03-12 18:00,87
25-03-12 17:00,86
25-03-12 16:00,87
25-03-12 15:00,84
25-03-12 14:00,82
25-03-12 13:00,76
25-03-12 12:00,70
25-03-12 11:00,62
25-03-12 10:00,52
25-03-12 09:00,47
25-03-12 08:00,47
25-03-12 07:00,47
25-03-12 06:00,41
25-03-12 05:00,44
25-03-12 04:00,49
25-03-12 03:00,50
25-03-12 02:00,52
25-03-12 01:00,56
25-03-12 00:00,60
24-03-12 23:00,65
24-03-12 22:00,70
24-03-12 21:00,76
24-03-12 20:00,77
24-03-12 19:00,84
24-03-12 18:00,85
24-03-12 17:00,89
24-03-12 16:00,92
24-03-12 15:00,91
24-03-12 14:00,89
24-03-12 13:00,85
24-03-12 12:00,79
24-03-12 11:00,57
24-03-12 10:00,40
24-03-12 09:00,30
24-03-12 08:00,20
24-03-12 07:00,7
24-03-12 06:00,5
24-03-12 05:00,13
24-03-12 04:00,8
24-03-12 03:00,10
24-03-12 02:00,4
24-03-12 01:00,1
24-03-12 00:00,37
23-03-12 23:00,69
23-03-12 22:00,75
23-03-12 21:00,77
23-03-12 20:00,82
23-03-12 19:00,74
23-03-12 18:00,72
23-03-12 17:00,83
23-03-12 16:00,84
23-03-12 15:00,86
23-03-12 14:00,79
23-03-12 13:00,79
23-03-12 12:00,76
23-03-12 11:00,55
23-03-12 10:00,
23-03-12 09:00,
23-03-12 08:00,13
23-03-12 07:00,12
23-03-12 06:00,3
23-03-12 05:00,1
23-03-12 04:00,3
23-03-12 03:00,3
23-03-12 02:00,3
23-03-12 01:00,9
23-03-12 00:00,3
22-03-12 23:00,22
22-03-12 22:00,58
22-03-12 21:00,61
22-03-12 20:00,60
22-03-12 19:00,52
22-03-12 18:00,58
22-03-12 17:00,63
22-03-12 16:00,61
22-03-12 15:00,57
22-03-12 14:00,55
22-03-12 13:00,46
22-03-12 12:00,39
22-03-12 11:00,35
22-03-12 10:00,15
22-03-12 09:00,7
22-03-12 08:00,3
22-03-12 07:00,2
22-03-12 06:00,8
22-03-12 05:00,19
22-03-12 04:00,25
22-03-12 03:00,18
22-03-12 02:00,7
22-03-12 01:00,37
22-03-12 00:00,38
21-03-12 23:00,37
21-03-12 22:00,35
21-03-12 21:00,41
21-03-12 20:00,42
21-03-12 19:00,49
21-03-12 18:00,62
21-03-12 17:00,63
21-03-12 16:00,70
21-03-12 15:00,69
21-03-12 14:00,68
21-03-12 13:00,67
21-03-12 12:00,57
21-03-12 11:00,54
21-03-12 10:00,39
21-03-12 09:00,33
21-03-12 08:00,36
21-03-12 07:00,34
21-03-12 06:00,37
21-03-12 05:00,38
21-03-12 04:00,40
21-03-12 03:00,41
21-03-12 02:00,40
21-03-12 01:00,43
21-03-12 00:00,47
20-03-12 23:00,52
20-03-12 22:00,54
20-03-12 21:00,43
20-03-12 20:00,61
20-03-12 19:00,68
20-03-12 18:00,78
20-03-12 17:00,82
20-03-12 16:00,81
20-03-12 15:00,76
20-03-12 14:00,78
20-03-12 13:00,79
20-03-12 12:00,78
20-03-12 11:00,70
20-03-12 10:00,55
20-03-12 09:00,35
20-03-12 08:00,37
20-03-12 07:00,40
20-03-12 06:00,37
20-03-12 05:00,38
20-03-12 04:00,35
20-03-12 03:00,32
20-03-12 02:00,42
20-03-12 01:00,46
20-03-12 00:00,51
19-03-12 23:00,56
19-03-12 22:00,62
19-03-12 21:00,63
19-03-12 20:00,65
19-03-12 19:00,71
19-03-12 18:00,77
19-03-12 17:00,77
19-03-12 16:00,75
19-03-12 15:00,74
19-03-12 14:00,76
19-03-12 13:00,77
19-03-12 12:00,77
19-03-12 11:00,78
19-03-12 10:00,77
19-03-12 09:00,75
19-03-12 08:00,70
19-03-12 07:00,70
19-03-12 06:00,68
19-03-12 05:00,70
19-03-12 04:00,72
19-03-12 03:00,67
19-03-12 02:00,61
19-03-12 01:00,66
19-03-12 00:00,61
18-03-12 23:00,66
18-03-12 22:00,63
18-03-12 21:00,69
18-03-12 20:00,78
18-03-12 19:00,78
18-03-12 18:00,92
18-03-12 17:00,105
18-03-12 16:00,104
18-03-12 15:00,105
18-03-12 14:00,106
18-03-12 13:00,105
18-03-12 12:00,98
18-03-12 11:00,82
18-03-12 10:00,76
18-03-12 09:00,64
18-03-12 08:00,62
18-03-12 07:00,59
18-03-12 06:00,68
18-03-12 05:00,78
18-03-12 04:00,78
18-03-12 03:00,78
18-03-12 02:00,81
18-03-12 01:00,86
18-03-12 00:00,85
17-03-12 23:00,84
17-03-12 22:00,87
17-03-12 21:00,91
17-03-12 20:00,93
17-03-12 19:00,96
17-03-12 18:00,108
17-03-12 17:00,117
17-03-12 16:00,115
17-03-12 15:00,116
17-03-12 14:00,114
17-03-12 13:00,107
17-03-12 12:00,76
17-03-12 11:00,51
17-03-12 10:00,43
17-03-12 09:00,38
17-03-12 08:00,32
17-03-12 07:00,29
17-03-12 06:00,27
17-03-12 05:00,30
17-03-12 04:00,34
17-03-12 03:00,37
17-03-12 02:00,35
17-03-12 01:00,36
17-03-12 00:00,38
16-03-12 23:00,31
16-03-12 22:00,34
16-03-12 21:00,23
16-03-12 20:00,11
16-03-12 19:00,15
16-03-12 18:00,63
16-03-12 17:00,80
16-03-12 16:00,86
16-03-12 15:00,90
16-03-12 14:00,77
16-03-12 13:00,52
16-03-12 12:00,37
16-03-12 11:00,30
16-03-12 10:00,26
16-03-12 09:00,20
16-03-12 08:00,20
16-03-12 07:00,22
16-03-12 06:00,22
16-03-12 05:00,24
16-03-12 04:00,26
16-03-12 03:00,28
16-03-12 02:00,27
16-03-12 01:00,29
16-03-12 00:00,28
15-03-12 23:00,24
15-03-12 22:00,8
15-03-12 21:00,6
15-03-12 20:00,27
15-03-12 19:00,21
15-03-12 18:00,31
15-03-12 17:00,40
15-03-12 16:00,40
15-03-12 15:00,39
15-03-12 14:00,42
15-03-12 13:00,42
15-03-12 12:00,47
15-03-12 11:00,36
15-03-12 10:00,17
15-03-12 09:00,24
15-03-12 08:00,26
15-03-12 07:00,31
15-03-12 06:00,33
15-03-12 05:00,31
15-03-12 04:00,32
15-03-12 03:00,32
