Datum Zeit,Collmberg PM2.5
,µg/m³
30-11-11,13.39
29-11-11,10.16
28-11-11,6.04
27-11-11,5.51
26-11-11,9.68
25-11-11,8.25
24-11-11,12.98
23-11-11,15.46
22-11-11,24.90
21-11-11,30.03
20-11-11,21.30
19-11-11,13.70
18-11-11,14.25
17-11-11,35.22
16-11-11,25.44
15-11-11,30.69
14-11-11,19.93
13-11-11,40.62
12-11-11,36.94
11-11-11,25.50
10-11-11,16.55
09-11-11,35.57
08-11-11,35.47
07-11-11,34.35
06-11-11,40.84
05-11-11,30.82
04-11-11,25.47
03-11-11,24.06
02-11-11,18.94
01-11-11,25.32

