Datum Zeit,Brockau PM10
,µg/m³
30-11-11,21
29-11-11,17
28-11-11,18
27-11-11,11
26-11-11,16
25-11-11,13
24-11-11,13
23-11-11,17
22-11-11,25
21-11-11,25
20-11-11,18
19-11-11,24
18-11-11,25
17-11-11,42
16-11-11,43
15-11-11,37
14-11-11,24
13-11-11,34
12-11-11,39
11-11-11,36
10-11-11,34
09-11-11,34
08-11-11,37
07-11-11,41
06-11-11,46
05-11-11,21
04-11-11,22
03-11-11,15
02-11-11,17
01-11-11,30

