Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-11-11,36.56
29-11-11,24.25
28-11-11,9.86
27-11-11,10.61
26-11-11,12.45
25-11-11,18.95
24-11-11,25.93
23-11-11,
22-11-11,39.48
21-11-11,38.04
20-11-11,35.42
19-11-11,47.98
18-11-11,47.59
17-11-11,50.01
16-11-11,44.29
15-11-11,82.97
14-11-11,59.81
13-11-11,48.32
12-11-11,38.04
11-11-11,31.62
10-11-11,35.87
09-11-11,41.14
08-11-11,36.85
07-11-11,37.94
06-11-11,44.55
05-11-11,37.91
04-11-11,28.77
03-11-11,38.84
02-11-11,33.87
01-11-11,48.98

