Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-11-11,36.55
29-11-11,23.38
28-11-11,16.42
27-11-11,10.84
26-11-11,13.62
25-11-11,19.05
24-11-11,27.11
23-11-11,35.88
22-11-11,41.25
21-11-11,37.72
20-11-11,33.21
19-11-11,44.16
18-11-11,50.14
17-11-11,51.51
16-11-11,41.50
15-11-11,78.70
14-11-11,58.08
13-11-11,48.98
12-11-11,40.41
11-11-11,33.98
10-11-11,39.26
09-11-11,45.22
08-11-11,36.30
07-11-11,38.17
06-11-11,42.93
05-11-11,34.66
04-11-11,26.53
03-11-11,34.39
02-11-11,29.72
01-11-11,47.06

