Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-11-11,15.46
29-11-11,14.25
28-11-11,11.10
27-11-11,6.13
26-11-11,11.79
25-11-11,11.76
24-11-11,21.01
23-11-11,28.49
22-11-11,33.94
21-11-11,30.87
20-11-11,20.30
19-11-11,24.37
18-11-11,37.71
17-11-11,50.68
16-11-11,51.77
15-11-11,68.58
14-11-11,40.05
13-11-11,47.90
12-11-11,40.68
11-11-11,33.19
10-11-11,34.07
09-11-11,27.12
08-11-11,36.60
07-11-11,33.97
06-11-11,34.89
05-11-11,25.47
04-11-11,18.18
03-11-11,10.18
02-11-11,14.50
01-11-11,21.43

