Datum Zeit,Klingenthal NO2
,µg/m³
01-04-01 00:00,8
31-03-01 23:00,8
31-03-01 22:00,9
31-03-01 21:00,11
31-03-01 20:00,7
31-03-01 19:00,10
31-03-01 18:00,15
31-03-01 17:00,12
31-03-01 16:00,15
31-03-01 15:00,13
31-03-01 14:00,15
31-03-01 13:00,13
31-03-01 12:00,15
31-03-01 11:00,16
31-03-01 10:00,15
31-03-01 09:00,20
31-03-01 08:00,17
31-03-01 07:00,21
31-03-01 06:00,16
31-03-01 05:00,10
31-03-01 04:00,10
31-03-01 03:00,8
31-03-01 02:00,
31-03-01 01:00,8
31-03-01 00:00,6
30-03-01 23:00,7
30-03-01 22:00,10
30-03-01 21:00,11
30-03-01 20:00,6
30-03-01 19:00,8
30-03-01 18:00,32
30-03-01 17:00,34
30-03-01 16:00,37
30-03-01 15:00,38
30-03-01 14:00,28
30-03-01 13:00,26
30-03-01 12:00,26
30-03-01 11:00,28
30-03-01 10:00,23
30-03-01 09:00,28
30-03-01 08:00,27
30-03-01 07:00,20
30-03-01 06:00,26
30-03-01 05:00,20
30-03-01 04:00,11
30-03-01 03:00,12
30-03-01 02:00,
30-03-01 01:00,12
30-03-01 00:00,11
29-03-01 23:00,11
29-03-01 22:00,12
29-03-01 21:00,14
29-03-01 20:00,14
29-03-01 19:00,14
29-03-01 18:00,12
29-03-01 17:00,14
29-03-01 16:00,17
29-03-01 15:00,18
29-03-01 14:00,17
29-03-01 13:00,15
29-03-01 12:00,17
29-03-01 11:00,15
29-03-01 10:00,15
29-03-01 09:00,16
29-03-01 08:00,16
29-03-01 07:00,17
29-03-01 06:00,13
29-03-01 05:00,11
29-03-01 04:00,12
29-03-01 03:00,
29-03-01 02:00,12
29-03-01 01:00,13
29-03-01 00:00,12
28-03-01 23:00,13
28-03-01 22:00,12
28-03-01 21:00,12
28-03-01 20:00,13
28-03-01 19:00,13
28-03-01 18:00,12
28-03-01 17:00,11
28-03-01 16:00,12
28-03-01 15:00,12
28-03-01 14:00,14
28-03-01 13:00,22
28-03-01 12:00,23
28-03-01 11:00,22
28-03-01 10:00,20
28-03-01 09:00,17
28-03-01 08:00,21
28-03-01 07:00,18
28-03-01 06:00,15
28-03-01 05:00,13
28-03-01 04:00,12
28-03-01 03:00,
28-03-01 02:00,12
28-03-01 01:00,10
28-03-01 00:00,14
27-03-01 23:00,17
27-03-01 22:00,14
27-03-01 21:00,20
27-03-01 20:00,18
27-03-01 19:00,19
27-03-01 18:00,15
27-03-01 17:00,14
27-03-01 16:00,17
27-03-01 15:00,13
27-03-01 14:00,10
27-03-01 13:00,12
27-03-01 12:00,11
27-03-01 11:00,10
27-03-01 10:00,12
27-03-01 09:00,14
27-03-01 08:00,16
27-03-01 07:00,16
27-03-01 06:00,19
27-03-01 05:00,12
27-03-01 04:00,
27-03-01 03:00,17
27-03-01 02:00,11
27-03-01 01:00,15
27-03-01 00:00,13
26-03-01 23:00,9
26-03-01 22:00,9
26-03-01 21:00,12
26-03-01 20:00,13
26-03-01 19:00,13
26-03-01 18:00,28
26-03-01 17:00,28
26-03-01 16:00,29
26-03-01 15:00,31
26-03-01 14:00,27
26-03-01 13:00,29
26-03-01 12:00,26
26-03-01 11:00,28
26-03-01 10:00,29
26-03-01 09:00,27
26-03-01 08:00,23
26-03-01 07:00,20
26-03-01 06:00,18
26-03-01 05:00,16
26-03-01 04:00,
26-03-01 03:00,11
26-03-01 02:00,13
26-03-01 01:00,12
26-03-01 00:00,13
25-03-01 23:00,17
25-03-01 22:00,17
25-03-01 21:00,17
25-03-01 20:00,15
25-03-01 19:00,20
25-03-01 18:00,14
25-03-01 17:00,25
25-03-01 16:00,25
25-03-01 15:00,7
25-03-01 14:00,8
25-03-01 13:00,9
25-03-01 12:00,9
25-03-01 11:00,15
25-03-01 10:00,17
25-03-01 09:00,24
25-03-01 08:00,23
25-03-01 07:00,18
25-03-01 06:00,17
25-03-01 05:00,
25-03-01 04:00,22
25-03-01 03:00,8
25-03-01 02:00,11
25-03-01 01:00,15
25-03-01 00:00,13
24-03-01 23:00,18
24-03-01 22:00,18
24-03-01 21:00,18
24-03-01 20:00,22
24-03-01 19:00,12
24-03-01 18:00,12
24-03-01 17:00,14
24-03-01 16:00,15
24-03-01 15:00,9
24-03-01 14:00,10
24-03-01 13:00,10
24-03-01 12:00,8
24-03-01 11:00,13
24-03-01 10:00,16
24-03-01 09:00,37
24-03-01 08:00,22
24-03-01 07:00,9
24-03-01 06:00,10
24-03-01 05:00,
24-03-01 04:00,13
24-03-01 03:00,19
24-03-01 02:00,17
24-03-01 01:00,27
24-03-01 00:00,25
23-03-01 23:00,22
23-03-01 22:00,19
23-03-01 21:00,21
23-03-01 20:00,31
23-03-01 19:00,29
23-03-01 18:00,22
23-03-01 17:00,22
23-03-01 16:00,29
23-03-01 15:00,31
23-03-01 14:00,31
23-03-01 13:00,24
23-03-01 12:00,31
23-03-01 11:00,25
23-03-01 10:00,26
23-03-01 09:00,25
23-03-01 08:00,29
23-03-01 07:00,37
23-03-01 06:00,
23-03-01 05:00,23
23-03-01 04:00,20
23-03-01 03:00,21
23-03-01 02:00,21
23-03-01 01:00,25
23-03-01 00:00,26
22-03-01 23:00,25
22-03-01 22:00,31
22-03-01 21:00,35
22-03-01 20:00,41
22-03-01 19:00,36
22-03-01 18:00,24
22-03-01 17:00,29
22-03-01 16:00,23
22-03-01 15:00,20
22-03-01 14:00,26
22-03-01 13:00,26
22-03-01 12:00,19
22-03-01 11:00,18
22-03-01 10:00,22
22-03-01 09:00,24
22-03-01 08:00,25
22-03-01 07:00,26
22-03-01 06:00,
22-03-01 05:00,17
22-03-01 04:00,15
22-03-01 03:00,17
22-03-01 02:00,20
22-03-01 01:00,23
22-03-01 00:00,31
21-03-01 23:00,32
21-03-01 22:00,32
21-03-01 21:00,26
21-03-01 20:00,26
21-03-01 19:00,27
21-03-01 18:00,25
21-03-01 17:00,23
21-03-01 16:00,21
21-03-01 15:00,16
21-03-01 14:00,15
21-03-01 13:00,14
21-03-01 12:00,14
21-03-01 11:00,17
21-03-01 10:00,17
21-03-01 09:00,19
21-03-01 08:00,17
21-03-01 07:00,
21-03-01 06:00,14
21-03-01 05:00,11
21-03-01 04:00,11
21-03-01 03:00,12
21-03-01 02:00,14
21-03-01 01:00,13
21-03-01 00:00,11
20-03-01 23:00,13
20-03-01 22:00,17
20-03-01 21:00,22
20-03-01 20:00,28
20-03-01 19:00,35
20-03-01 18:00,33
20-03-01 17:00,34
20-03-01 16:00,26
20-03-01 15:00,19
20-03-01 14:00,13
20-03-01 13:00,16
20-03-01 12:00,12
20-03-01 11:00,21
20-03-01 10:00,26
20-03-01 09:00,38
20-03-01 08:00,39
20-03-01 07:00,
20-03-01 06:00,20
20-03-01 05:00,10
20-03-01 04:00,7
20-03-01 03:00,6
20-03-01 02:00,6
20-03-01 01:00,7
20-03-01 00:00,7
19-03-01 23:00,8
19-03-01 22:00,9
19-03-01 21:00,11
19-03-01 20:00,13
19-03-01 19:00,15
19-03-01 18:00,16
19-03-01 17:00,19
19-03-01 16:00,18
19-03-01 15:00,20
19-03-01 14:00,18
19-03-01 13:00,13
19-03-01 12:00,14
19-03-01 11:00,14
19-03-01 10:00,17
19-03-01 09:00,20
19-03-01 08:00,
