Datum Zeit,Borna O3
,µg/m³
01-04-01 00:00,51
31-03-01 23:00,45
31-03-01 22:00,46
31-03-01 21:00,48
31-03-01 20:00,52
31-03-01 19:00,68
31-03-01 18:00,70
31-03-01 17:00,80
31-03-01 16:00,80
31-03-01 15:00,69
31-03-01 14:00,67
31-03-01 13:00,60
31-03-01 12:00,53
31-03-01 11:00,38
31-03-01 10:00,24
31-03-01 09:00,18
31-03-01 08:00,9
31-03-01 07:00,6
31-03-01 06:00,5
31-03-01 05:00,9
31-03-01 04:00,
31-03-01 03:00,19
31-03-01 02:00,29
31-03-01 01:00,28
31-03-01 00:00,25
30-03-01 23:00,23
30-03-01 22:00,16
30-03-01 21:00,20
30-03-01 20:00,24
30-03-01 19:00,20
30-03-01 18:00,22
30-03-01 17:00,20
30-03-01 16:00,18
30-03-01 15:00,20
30-03-01 14:00,39
30-03-01 13:00,25
30-03-01 12:00,15
30-03-01 11:00,5
30-03-01 10:00,4
30-03-01 09:00,4
30-03-01 08:00,5
30-03-01 07:00,4
30-03-01 06:00,9
30-03-01 05:00,
30-03-01 04:00,20
30-03-01 03:00,25
30-03-01 02:00,29
30-03-01 01:00,32
30-03-01 00:00,25
29-03-01 23:00,22
29-03-01 22:00,25
29-03-01 21:00,27
29-03-01 20:00,22
29-03-01 19:00,23
29-03-01 18:00,20
29-03-01 17:00,21
29-03-01 16:00,23
29-03-01 15:00,32
29-03-01 14:00,34
29-03-01 13:00,29
29-03-01 12:00,25
29-03-01 11:00,26
29-03-01 10:00,17
29-03-01 09:00,15
29-03-01 08:00,18
29-03-01 07:00,27
29-03-01 06:00,26
29-03-01 05:00,
29-03-01 04:00,37
29-03-01 03:00,46
29-03-01 02:00,46
29-03-01 01:00,53
29-03-01 00:00,61
28-03-01 23:00,64
28-03-01 22:00,41
28-03-01 21:00,42
28-03-01 20:00,40
28-03-01 19:00,42
28-03-01 18:00,38
28-03-01 17:00,27
28-03-01 16:00,32
28-03-01 15:00,37
28-03-01 14:00,35
28-03-01 13:00,40
28-03-01 12:00,45
28-03-01 11:00,43
28-03-01 10:00,41
28-03-01 09:00,44
28-03-01 08:00,33
28-03-01 07:00,30
28-03-01 06:00,
28-03-01 05:00,45
28-03-01 04:00,55
28-03-01 03:00,66
28-03-01 02:00,71
28-03-01 01:00,75
28-03-01 00:00,79
27-03-01 23:00,81
27-03-01 22:00,78
27-03-01 21:00,68
