Datum Zeit,Annaberg-Buchholz NO
,µg/m³
01-04-01 00:00,15
31-03-01 23:00,12
31-03-01 22:00,18
31-03-01 21:00,13
31-03-01 20:00,17
31-03-01 19:00,20
31-03-01 18:00,15
31-03-01 17:00,12
31-03-01 16:00,7
31-03-01 15:00,10
31-03-01 14:00,9
31-03-01 13:00,7
31-03-01 12:00,8
31-03-01 11:00,14
31-03-01 10:00,11
31-03-01 09:00,41
31-03-01 08:00,41
31-03-01 07:00,26
31-03-01 06:00,15
31-03-01 05:00,14
31-03-01 04:00,
31-03-01 03:00,10
31-03-01 02:00,16
31-03-01 01:00,18
31-03-01 00:00,15
30-03-01 23:00,13
30-03-01 22:00,32
30-03-01 21:00,29
30-03-01 20:00,23
30-03-01 19:00,24
30-03-01 18:00,38
30-03-01 17:00,14
30-03-01 16:00,13
30-03-01 15:00,22
30-03-01 14:00,24
30-03-01 13:00,35
30-03-01 12:00,44
30-03-01 11:00,58
30-03-01 10:00,64
30-03-01 09:00,70
30-03-01 08:00,90
30-03-01 07:00,82
30-03-01 06:00,60
30-03-01 05:00,
30-03-01 04:00,4
30-03-01 03:00,2
30-03-01 02:00,2
30-03-01 01:00,2
30-03-01 00:00,3
29-03-01 23:00,5
29-03-01 22:00,10
29-03-01 21:00,12
29-03-01 20:00,14
29-03-01 19:00,20
29-03-01 18:00,30
29-03-01 17:00,28
29-03-01 16:00,40
29-03-01 15:00,53
29-03-01 14:00,52
29-03-01 13:00,42
29-03-01 12:00,39
29-03-01 11:00,46
29-03-01 10:00,42
29-03-01 09:00,44
29-03-01 08:00,36
29-03-01 07:00,43
29-03-01 06:00,41
29-03-01 05:00,
29-03-01 04:00,3
29-03-01 03:00,2
29-03-01 02:00,1
29-03-01 01:00,1
29-03-01 00:00,1
28-03-01 23:00,2
28-03-01 22:00,2
28-03-01 21:00,7
28-03-01 20:00,15
28-03-01 19:00,18
28-03-01 18:00,25
28-03-01 17:00,32
28-03-01 16:00,42
28-03-01 15:00,40
28-03-01 14:00,36
28-03-01 13:00,38
28-03-01 12:00,31
28-03-01 11:00,31
28-03-01 10:00,37
28-03-01 09:00,35
28-03-01 08:00,40
28-03-01 07:00,63
28-03-01 06:00,
28-03-01 05:00,13
28-03-01 04:00,5
28-03-01 03:00,3
28-03-01 02:00,1
28-03-01 01:00,1
28-03-01 00:00,4
27-03-01 23:00,2
27-03-01 22:00,3
27-03-01 21:00,6
27-03-01 20:00,9
27-03-01 19:00,10
27-03-01 18:00,19
27-03-01 17:00,21
27-03-01 16:00,39
27-03-01 15:00,32
27-03-01 14:00,33
27-03-01 13:00,30
27-03-01 12:00,22
27-03-01 11:00,38
27-03-01 10:00,32
27-03-01 09:00,25
27-03-01 08:00,27
27-03-01 07:00,26
27-03-01 06:00,
27-03-01 05:00,5
27-03-01 04:00,7
27-03-01 03:00,3
27-03-01 02:00,3
27-03-01 01:00,1
27-03-01 00:00,2
26-03-01 23:00,2
26-03-01 22:00,4
26-03-01 21:00,3
26-03-01 20:00,5
26-03-01 19:00,9
26-03-01 18:00,11
26-03-01 17:00,12
26-03-01 16:00,15
26-03-01 15:00,18
26-03-01 14:00,21
26-03-01 13:00,18
26-03-01 12:00,18
26-03-01 11:00,19
26-03-01 10:00,13
26-03-01 09:00,15
26-03-01 08:00,7
26-03-01 07:00,
26-03-01 06:00,6
26-03-01 05:00,6
26-03-01 04:00,4
26-03-01 03:00,3
26-03-01 02:00,2
26-03-01 01:00,1
26-03-01 00:00,1
25-03-01 23:00,2
25-03-01 22:00,3
25-03-01 21:00,5
25-03-01 20:00,6
25-03-01 19:00,5
25-03-01 18:00,17
25-03-01 17:00,16
25-03-01 16:00,8
25-03-01 15:00,13
25-03-01 14:00,13
25-03-01 13:00,15
25-03-01 12:00,13
25-03-01 11:00,15
25-03-01 10:00,15
25-03-01 09:00,16
25-03-01 08:00,4
25-03-01 07:00,
25-03-01 06:00,6
25-03-01 05:00,3
25-03-01 04:00,2
25-03-01 03:00,5
25-03-01 02:00,2
25-03-01 01:00,2
25-03-01 00:00,5
24-03-01 23:00,11
24-03-01 22:00,14
24-03-01 21:00,7
24-03-01 20:00,13
24-03-01 19:00,9
24-03-01 18:00,5
24-03-01 17:00,10
24-03-01 16:00,11
24-03-01 15:00,15
24-03-01 14:00,9
24-03-01 13:00,6
24-03-01 12:00,10
24-03-01 11:00,16
24-03-01 10:00,15
24-03-01 09:00,12
24-03-01 08:00,
24-03-01 07:00,5
24-03-01 06:00,6
24-03-01 05:00,12
24-03-01 04:00,15
24-03-01 03:00,6
24-03-01 02:00,7
24-03-01 01:00,10
24-03-01 00:00,16
23-03-01 23:00,16
23-03-01 22:00,14
23-03-01 21:00,7
23-03-01 20:00,26
23-03-01 19:00,33
23-03-01 18:00,32
23-03-01 17:00,41
23-03-01 16:00,57
23-03-01 15:00,58
23-03-01 14:00,52
23-03-01 13:00,51
23-03-01 12:00,53
23-03-01 11:00,34
23-03-01 10:00,35
23-03-01 09:00,42
23-03-01 08:00,
23-03-01 07:00,
23-03-01 06:00,3
23-03-01 05:00,2
23-03-01 04:00,1
23-03-01 03:00,1
23-03-01 02:00,1
23-03-01 01:00,1
23-03-01 00:00,1
22-03-01 23:00,3
22-03-01 22:00,2
22-03-01 21:00,3
22-03-01 20:00,48
22-03-01 19:00,64
22-03-01 18:00,48
22-03-01 17:00,32
22-03-01 16:00,24
22-03-01 15:00,30
22-03-01 14:00,35
22-03-01 13:00,42
22-03-01 12:00,44
22-03-01 11:00,65
22-03-01 10:00,64
22-03-01 09:00,41
22-03-01 08:00,
22-03-01 07:00,52
22-03-01 06:00,
22-03-01 05:00,12
22-03-01 04:00,4
22-03-01 03:00,4
22-03-01 02:00,3
22-03-01 01:00,1
22-03-01 00:00,3
21-03-01 23:00,6
21-03-01 22:00,12
21-03-01 21:00,16
21-03-01 20:00,17
21-03-01 19:00,19
21-03-01 18:00,27
21-03-01 17:00,40
21-03-01 16:00,40
21-03-01 15:00,57
21-03-01 14:00,89
