Datum Zeit,Freiberg O3
,µg/m³
01-04-01 00:00,43
31-03-01 23:00,45
31-03-01 22:00,22
31-03-01 21:00,12
31-03-01 20:00,15
31-03-01 19:00,27
31-03-01 18:00,90
31-03-01 17:00,98
31-03-01 16:00,100
31-03-01 15:00,90
31-03-01 14:00,80
31-03-01 13:00,77
31-03-01 12:00,63
31-03-01 11:00,56
31-03-01 10:00,41
31-03-01 09:00,
31-03-01 08:00,16
31-03-01 07:00,11
31-03-01 06:00,20
31-03-01 05:00,34
31-03-01 04:00,43
31-03-01 03:00,54
31-03-01 02:00,55
31-03-01 01:00,56
31-03-01 00:00,47
30-03-01 23:00,28
30-03-01 22:00,13
30-03-01 21:00,14
30-03-01 20:00,10
30-03-01 19:00,10
30-03-01 18:00,29
30-03-01 17:00,41
30-03-01 16:00,39
30-03-01 15:00,14
30-03-01 14:00,11
30-03-01 13:00,18
30-03-01 12:00,20
30-03-01 11:00,18
30-03-01 10:00,
30-03-01 09:00,18
30-03-01 08:00,12
30-03-01 07:00,12
30-03-01 06:00,23
30-03-01 05:00,20
30-03-01 04:00,34
30-03-01 03:00,36
30-03-01 02:00,40
30-03-01 01:00,39
30-03-01 00:00,39
29-03-01 23:00,40
29-03-01 22:00,44
29-03-01 21:00,44
29-03-01 20:00,43
29-03-01 19:00,42
29-03-01 18:00,41
29-03-01 17:00,43
29-03-01 16:00,40
29-03-01 15:00,48
29-03-01 14:00,51
29-03-01 13:00,46
29-03-01 12:00,48
29-03-01 11:00,50
29-03-01 10:00,
29-03-01 09:00,52
29-03-01 08:00,57
29-03-01 07:00,56
29-03-01 06:00,59
29-03-01 05:00,59
29-03-01 04:00,61
29-03-01 03:00,62
29-03-01 02:00,63
29-03-01 01:00,65
29-03-01 00:00,70
28-03-01 23:00,72
28-03-01 22:00,75
28-03-01 21:00,86
28-03-01 20:00,75
28-03-01 19:00,62
28-03-01 18:00,59
28-03-01 17:00,61
28-03-01 16:00,64
28-03-01 15:00,70
28-03-01 14:00,71
28-03-01 13:00,69
28-03-01 12:00,75
28-03-01 11:00,
28-03-01 10:00,74
28-03-01 09:00,65
28-03-01 08:00,51
28-03-01 07:00,31
28-03-01 06:00,31
28-03-01 05:00,46
28-03-01 04:00,52
28-03-01 03:00,66
28-03-01 02:00,65
28-03-01 01:00,73
28-03-01 00:00,72
27-03-01 23:00,75
27-03-01 22:00,80
27-03-01 21:00,83
27-03-01 20:00,83
27-03-01 19:00,71
27-03-01 18:00,64
27-03-01 17:00,62
27-03-01 16:00,56
27-03-01 15:00,63
27-03-01 14:00,63
27-03-01 13:00,69
27-03-01 12:00,69
27-03-01 11:00,
27-03-01 10:00,55
27-03-01 09:00,46
27-03-01 08:00,43
27-03-01 07:00,40
27-03-01 06:00,47
27-03-01 05:00,58
27-03-01 04:00,65
27-03-01 03:00,71
27-03-01 02:00,75
27-03-01 01:00,81
27-03-01 00:00,85
26-03-01 23:00,83
26-03-01 22:00,75
26-03-01 21:00,76
26-03-01 20:00,67
26-03-01 19:00,61
26-03-01 18:00,54
26-03-01 17:00,50
26-03-01 16:00,48
26-03-01 15:00,51
26-03-01 14:00,48
26-03-01 13:00,48
26-03-01 12:00,
26-03-01 11:00,48
