Datum Zeit,Schwartenberg PM2.5
,µg/m³
28-02-02,1.18
27-02-02,
26-02-02,0.28
25-02-02,
24-02-02,1.85
23-02-02,
22-02-02,4.84
21-02-02,
20-02-02,0.20
19-02-02,
18-02-02,31.08
17-02-02,
16-02-02,14.93
15-02-02,
14-02-02,2.81
13-02-02,
12-02-02,0.15
11-02-02,
10-02-02,1.54
09-02-02,
08-02-02,5.33
07-02-02,
06-02-02,15.98
05-02-02,
04-02-02,16.13
03-02-02,
02-02-02,12.12
01-02-02,

