Datum Zeit,Chemnitz-Mitte NO2
,µg/m³
01-03-02 00:00,14
28-02-02 23:00,15
28-02-02 22:00,23
28-02-02 21:00,26
28-02-02 20:00,43
28-02-02 19:00,48
28-02-02 18:00,32
28-02-02 17:00,26
28-02-02 16:00,40
28-02-02 15:00,23
28-02-02 14:00,16
28-02-02 13:00,17
28-02-02 12:00,15
28-02-02 11:00,15
28-02-02 10:00,15
28-02-02 09:00,23
28-02-02 08:00,38
28-02-02 07:00,25
28-02-02 06:00,11
28-02-02 05:00,9
28-02-02 04:00,7
28-02-02 03:00,7
28-02-02 02:00,8
28-02-02 01:00,11
28-02-02 00:00,13
27-02-02 23:00,15
27-02-02 22:00,15
27-02-02 21:00,29
27-02-02 20:00,34
27-02-02 19:00,28
27-02-02 18:00,20
27-02-02 17:00,19
27-02-02 16:00,16
27-02-02 15:00,14
27-02-02 14:00,20
27-02-02 13:00,14
27-02-02 12:00,18
27-02-02 11:00,22
27-02-02 10:00,21
27-02-02 09:00,22
27-02-02 08:00,26
27-02-02 07:00,35
27-02-02 06:00,14
27-02-02 05:00,5
27-02-02 04:00,7
27-02-02 03:00,8
27-02-02 02:00,7
27-02-02 01:00,8
27-02-02 00:00,9
26-02-02 23:00,13
26-02-02 22:00,13
26-02-02 21:00,12
26-02-02 20:00,14
26-02-02 19:00,15
26-02-02 18:00,17
26-02-02 17:00,19
26-02-02 16:00,19
26-02-02 15:00,16
26-02-02 14:00,16
26-02-02 13:00,21
26-02-02 12:00,21
26-02-02 11:00,20
26-02-02 10:00,37
26-02-02 09:00,29
26-02-02 08:00,39
26-02-02 07:00,16
26-02-02 06:00,11
26-02-02 05:00,9
26-02-02 04:00,7
26-02-02 03:00,7
26-02-02 02:00,9
26-02-02 01:00,10
26-02-02 00:00,14
25-02-02 23:00,19
25-02-02 22:00,42
25-02-02 21:00,44
25-02-02 20:00,44
25-02-02 19:00,51
25-02-02 18:00,49
25-02-02 17:00,42
25-02-02 16:00,42
25-02-02 15:00,38
25-02-02 14:00,37
25-02-02 13:00,41
25-02-02 12:00,43
25-02-02 11:00,35
25-02-02 10:00,44
