Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
30-04-05,24
29-04-05,21
28-04-05,19
27-04-05,26
26-04-05,42
25-04-05,37
24-04-05,29
23-04-05,26
22-04-05,26
21-04-05,16
20-04-05,18
19-04-05,40
18-04-05,32
17-04-05,44
16-04-05,46
15-04-05,44
14-04-05,45
13-04-05,
12-04-05,28
11-04-05,21
10-04-05,15
09-04-05,17
08-04-05,8
07-04-05,12
06-04-05,20
05-04-05,28
04-04-05,33
03-04-05,29
02-04-05,36
01-04-05,42

