Datum Zeit,Freiberg PM10
,µg/m³
30-04-05,24
29-04-05,29
28-04-05,23
27-04-05,19
26-04-05,52
25-04-05,51
24-04-05,34
23-04-05,35
22-04-05,36
21-04-05,27
20-04-05,30
19-04-05,41
18-04-05,43
17-04-05,49
16-04-05,52
15-04-05,54
14-04-05,55
13-04-05,59
12-04-05,39
11-04-05,28
10-04-05,18
09-04-05,19
08-04-05,14
07-04-05,20
06-04-05,27
05-04-05,32
04-04-05,42
03-04-05,31
02-04-05,43
01-04-05,51

