Datum Zeit,Collmberg O3
,µg/m³
20-04-05 00:00,82
19-04-05 23:00,86
19-04-05 22:00,90
19-04-05 21:00,93
19-04-05 20:00,93
19-04-05 19:00,95
19-04-05 18:00,101
19-04-05 17:00,103
19-04-05 16:00,107
19-04-05 15:00,107
19-04-05 14:00,101
19-04-05 13:00,92
19-04-05 12:00,87
19-04-05 11:00,78
19-04-05 10:00,67
19-04-05 09:00,53
19-04-05 08:00,54
19-04-05 07:00,60
19-04-05 06:00,63
19-04-05 05:00,67
19-04-05 04:00,83
19-04-05 03:00,83
19-04-05 02:00,87
19-04-05 01:00,93
19-04-05 00:00,94
18-04-05 23:00,95
18-04-05 22:00,98
18-04-05 21:00,105
18-04-05 20:00,110
18-04-05 19:00,103
18-04-05 18:00,107
18-04-05 17:00,116
18-04-05 16:00,117
18-04-05 15:00,117
18-04-05 14:00,106
18-04-05 13:00,91
18-04-05 12:00,80
18-04-05 11:00,65
18-04-05 10:00,64
18-04-05 09:00,59
18-04-05 08:00,57
18-04-05 07:00,63
18-04-05 06:00,65
18-04-05 05:00,68
18-04-05 04:00,72
18-04-05 03:00,73
18-04-05 02:00,75
18-04-05 01:00,79
18-04-05 00:00,88
17-04-05 23:00,101
17-04-05 22:00,114
17-04-05 21:00,123
17-04-05 20:00,127
17-04-05 19:00,127
17-04-05 18:00,121
17-04-05 17:00,127
17-04-05 16:00,128
17-04-05 15:00,130
17-04-05 14:00,110
17-04-05 13:00,94
17-04-05 12:00,85
17-04-05 11:00,73
17-04-05 10:00,63
17-04-05 09:00,59
17-04-05 08:00,59
17-04-05 07:00,61
17-04-05 06:00,65
17-04-05 05:00,70
17-04-05 04:00,78
17-04-05 03:00,82
17-04-05 02:00,87
17-04-05 01:00,89
17-04-05 00:00,93
16-04-05 23:00,98
16-04-05 22:00,100
16-04-05 21:00,104
16-04-05 20:00,109
16-04-05 19:00,113
16-04-05 18:00,114
16-04-05 17:00,120
16-04-05 16:00,125
16-04-05 15:00,124
16-04-05 14:00,124
16-04-05 13:00,126
16-04-05 12:00,116
16-04-05 11:00,103
16-04-05 10:00,92
16-04-05 09:00,87
16-04-05 08:00,97
16-04-05 07:00,98
16-04-05 06:00,81
16-04-05 05:00,100
16-04-05 04:00,97
16-04-05 03:00,90
16-04-05 02:00,101
16-04-05 01:00,108
16-04-05 00:00,102
15-04-05 23:00,108
15-04-05 22:00,115
15-04-05 21:00,124
15-04-05 20:00,122
15-04-05 19:00,120
15-04-05 18:00,128
15-04-05 17:00,133
15-04-05 16:00,133
15-04-05 15:00,133
15-04-05 14:00,132
15-04-05 13:00,124
15-04-05 12:00,112
15-04-05 11:00,93
15-04-05 10:00,63
15-04-05 09:00,47
15-04-05 08:00,55
15-04-05 07:00,59
15-04-05 06:00,60
15-04-05 05:00,65
15-04-05 04:00,70
15-04-05 03:00,64
15-04-05 02:00,74
15-04-05 01:00,85
15-04-05 00:00,91
14-04-05 23:00,90
14-04-05 22:00,98
14-04-05 21:00,103
14-04-05 20:00,97
14-04-05 19:00,99
14-04-05 18:00,94
14-04-05 17:00,106
14-04-05 16:00,117
14-04-05 15:00,117
14-04-05 14:00,119
14-04-05 13:00,119
14-04-05 12:00,111
14-04-05 11:00,106
14-04-05 10:00,95
14-04-05 09:00,73
14-04-05 08:00,70
14-04-05 07:00,64
14-04-05 06:00,57
14-04-05 05:00,49
14-04-05 04:00,54
14-04-05 03:00,58
14-04-05 02:00,64
14-04-05 01:00,63
14-04-05 00:00,60
13-04-05 23:00,63
13-04-05 22:00,69
13-04-05 21:00,79
13-04-05 20:00,91
13-04-05 19:00,96
13-04-05 18:00,103
13-04-05 17:00,101
13-04-05 16:00,97
13-04-05 15:00,91
13-04-05 14:00,85
13-04-05 13:00,76
13-04-05 12:00,74
13-04-05 11:00,48
13-04-05 10:00,31
13-04-05 09:00,22
13-04-05 08:00,24
13-04-05 07:00,25
13-04-05 06:00,29
13-04-05 05:00,38
13-04-05 04:00,43
13-04-05 03:00,51
13-04-05 02:00,62
13-04-05 01:00,54
13-04-05 00:00,66
12-04-05 23:00,66
12-04-05 22:00,70
12-04-05 21:00,71
12-04-05 20:00,74
12-04-05 19:00,78
12-04-05 18:00,80
12-04-05 17:00,80
12-04-05 16:00,82
12-04-05 15:00,82
12-04-05 14:00,80
12-04-05 13:00,75
12-04-05 12:00,70
12-04-05 11:00,65
12-04-05 10:00,66
12-04-05 09:00,64
12-04-05 08:00,65
12-04-05 07:00,67
12-04-05 06:00,68
12-04-05 05:00,71
12-04-05 04:00,69
12-04-05 03:00,70
12-04-05 02:00,80
12-04-05 01:00,86
12-04-05 00:00,85
11-04-05 23:00,84
11-04-05 22:00,79
11-04-05 21:00,84
11-04-05 20:00,88
11-04-05 19:00,83
11-04-05 18:00,81
11-04-05 17:00,85
11-04-05 16:00,85
11-04-05 15:00,85
11-04-05 14:00,
11-04-05 13:00,
11-04-05 12:00,
11-04-05 11:00,
11-04-05 10:00,77
11-04-05 09:00,71
11-04-05 08:00,64
11-04-05 07:00,51
11-04-05 06:00,38
11-04-05 05:00,45
11-04-05 04:00,39
11-04-05 03:00,41
11-04-05 02:00,42
11-04-05 01:00,44
11-04-05 00:00,43
10-04-05 23:00,49
10-04-05 22:00,51
10-04-05 21:00,54
10-04-05 20:00,59
10-04-05 19:00,63
10-04-05 18:00,65
10-04-05 17:00,68
10-04-05 16:00,75
10-04-05 15:00,78
10-04-05 14:00,74
10-04-05 13:00,66
10-04-05 12:00,66
10-04-05 11:00,64
10-04-05 10:00,62
10-04-05 09:00,64
10-04-05 08:00,67
10-04-05 07:00,65
10-04-05 06:00,63
10-04-05 05:00,65
10-04-05 04:00,68
10-04-05 03:00,69
10-04-05 02:00,73
10-04-05 01:00,73
10-04-05 00:00,71
09-04-05 23:00,73
09-04-05 22:00,65
09-04-05 21:00,62
09-04-05 20:00,65
09-04-05 19:00,68
09-04-05 18:00,69
09-04-05 17:00,71
09-04-05 16:00,63
09-04-05 15:00,58
09-04-05 14:00,61
09-04-05 13:00,59
09-04-05 12:00,50
09-04-05 11:00,37
09-04-05 10:00,41
09-04-05 09:00,49
09-04-05 08:00,58
09-04-05 07:00,63
09-04-05 06:00,68
09-04-05 05:00,72
09-04-05 04:00,67
09-04-05 03:00,69
09-04-05 02:00,81
09-04-05 01:00,84
09-04-05 00:00,87
08-04-05 23:00,84
08-04-05 22:00,66
08-04-05 21:00,62
08-04-05 20:00,58
08-04-05 19:00,60
08-04-05 18:00,67
08-04-05 17:00,69
08-04-05 16:00,76
08-04-05 15:00,76
08-04-05 14:00,86
08-04-05 13:00,87
08-04-05 12:00,86
08-04-05 11:00,86
08-04-05 10:00,82
08-04-05 09:00,80
08-04-05 08:00,81
08-04-05 07:00,81
08-04-05 06:00,76
08-04-05 05:00,74
08-04-05 04:00,72
08-04-05 03:00,71
08-04-05 02:00,64
08-04-05 01:00,65
08-04-05 00:00,66
07-04-05 23:00,62
07-04-05 22:00,69
07-04-05 21:00,77
07-04-05 20:00,77
07-04-05 19:00,80
07-04-05 18:00,81
07-04-05 17:00,73
07-04-05 16:00,79
07-04-05 15:00,81
07-04-05 14:00,72
07-04-05 13:00,81
07-04-05 12:00,81
07-04-05 11:00,81
07-04-05 10:00,80
07-04-05 09:00,83
07-04-05 08:00,81
07-04-05 07:00,80
07-04-05 06:00,79
07-04-05 05:00,73
07-04-05 04:00,72
07-04-05 03:00,72
07-04-05 02:00,75
07-04-05 01:00,76
07-04-05 00:00,76
06-04-05 23:00,76
06-04-05 22:00,70
06-04-05 21:00,71
06-04-05 20:00,75
06-04-05 19:00,85
06-04-05 18:00,97
06-04-05 17:00,103
06-04-05 16:00,110
06-04-05 15:00,108
06-04-05 14:00,102
06-04-05 13:00,95
06-04-05 12:00,84
06-04-05 11:00,77
06-04-05 10:00,61
06-04-05 09:00,44
06-04-05 08:00,43
06-04-05 07:00,47
06-04-05 06:00,48
06-04-05 05:00,48
06-04-05 04:00,53
06-04-05 03:00,54
06-04-05 02:00,55
06-04-05 01:00,53
06-04-05 00:00,56
05-04-05 23:00,65
05-04-05 22:00,62
05-04-05 21:00,60
05-04-05 20:00,63
05-04-05 19:00,73
05-04-05 18:00,74
05-04-05 17:00,77
05-04-05 16:00,85
05-04-05 15:00,89
05-04-05 14:00,81
05-04-05 13:00,74
05-04-05 12:00,91
05-04-05 11:00,93
05-04-05 10:00,95
05-04-05 09:00,91
05-04-05 08:00,96
05-04-05 07:00,101
05-04-05 06:00,103
05-04-05 05:00,104
05-04-05 04:00,105
05-04-05 03:00,103
05-04-05 02:00,103
05-04-05 01:00,102
05-04-05 00:00,99
04-04-05 23:00,101
04-04-05 22:00,102
04-04-05 21:00,104
04-04-05 20:00,105
04-04-05 19:00,120
04-04-05 18:00,121
04-04-05 17:00,131
04-04-05 16:00,136
04-04-05 15:00,135
04-04-05 14:00,131
04-04-05 13:00,113
04-04-05 12:00,82
04-04-05 11:00,56
