Datum Zeit,Radebeul-Wahnsdorf PM2.5
,µg/m³
31-08-08,8.07
30-08-08,6.75
29-08-08,14.12
28-08-08,20.20
27-08-08,12.41
26-08-08,10.98
25-08-08,9.69
24-08-08,4.40
23-08-08,5.67
22-08-08,8.66
21-08-08,5.70
20-08-08,4.29
19-08-08,7.80
18-08-08,
17-08-08,
16-08-08,
15-08-08,
14-08-08,
13-08-08,
12-08-08,
11-08-08,
10-08-08,
09-08-08,
08-08-08,
07-08-08,
06-08-08,
05-08-08,
04-08-08,
03-08-08,
02-08-08,
01-08-08,

