Datum Zeit,Goerlitz O3
,µg/m³
01-01-01 00:00,46
31-12-00 23:00,40
31-12-00 22:00,36
31-12-00 21:00,35
31-12-00 20:00,46
31-12-00 19:00,50
31-12-00 18:00,45
31-12-00 17:00,42
31-12-00 16:00,42
31-12-00 15:00,46
31-12-00 14:00,41
31-12-00 13:00,33
31-12-00 12:00,30
31-12-00 11:00,28
31-12-00 10:00,24
31-12-00 09:00,24
31-12-00 08:00,17
31-12-00 07:00,
31-12-00 06:00,11
31-12-00 05:00,7
31-12-00 04:00,17
31-12-00 03:00,21
31-12-00 02:00,26
31-12-00 01:00,32
31-12-00 00:00,32
30-12-00 23:00,30
30-12-00 22:00,19
30-12-00 21:00,12
30-12-00 20:00,4
30-12-00 19:00,3
30-12-00 18:00,2
30-12-00 17:00,11
30-12-00 16:00,18
30-12-00 15:00,17
30-12-00 14:00,14
30-12-00 13:00,9
30-12-00 12:00,6
30-12-00 11:00,6
30-12-00 10:00,3
30-12-00 09:00,1
30-12-00 08:00,
30-12-00 07:00,3
30-12-00 06:00,6
30-12-00 05:00,8
30-12-00 04:00,14
30-12-00 03:00,16
30-12-00 02:00,17
30-12-00 01:00,19
30-12-00 00:00,19
29-12-00 23:00,14
29-12-00 22:00,10
29-12-00 21:00,7
29-12-00 20:00,7
29-12-00 19:00,9
29-12-00 18:00,7
29-12-00 17:00,10
29-12-00 16:00,13
29-12-00 15:00,17
29-12-00 14:00,18
29-12-00 13:00,16
29-12-00 12:00,17
29-12-00 11:00,12
29-12-00 10:00,10
29-12-00 09:00,9
29-12-00 08:00,
29-12-00 07:00,11
29-12-00 06:00,15
29-12-00 05:00,23
29-12-00 04:00,23
29-12-00 03:00,22
29-12-00 02:00,20
29-12-00 01:00,20
29-12-00 00:00,9
28-12-00 23:00,11
28-12-00 22:00,2
28-12-00 21:00,1
28-12-00 20:00,1
28-12-00 19:00,4
28-12-00 18:00,11
28-12-00 17:00,6
28-12-00 16:00,1
28-12-00 15:00,3
28-12-00 14:00,3
28-12-00 13:00,4
28-12-00 12:00,4
28-12-00 11:00,4
28-12-00 10:00,3
28-12-00 09:00,
28-12-00 08:00,2
28-12-00 07:00,4
28-12-00 06:00,9
28-12-00 05:00,15
28-12-00 04:00,17
28-12-00 03:00,21
28-12-00 02:00,16
