Datum Zeit,Collmberg NO2
,µg/m³
01-01-01 00:00,13
31-12-00 23:00,12
31-12-00 22:00,14
31-12-00 21:00,15
31-12-00 20:00,16
31-12-00 19:00,16
31-12-00 18:00,10
31-12-00 17:00,9
31-12-00 16:00,9
31-12-00 15:00,8
31-12-00 14:00,7
31-12-00 13:00,8
31-12-00 12:00,8
31-12-00 11:00,
31-12-00 10:00,8
31-12-00 09:00,9
31-12-00 08:00,11
31-12-00 07:00,12
31-12-00 06:00,11
31-12-00 05:00,11
31-12-00 04:00,14
31-12-00 03:00,18
31-12-00 02:00,21
31-12-00 01:00,21
31-12-00 00:00,19
30-12-00 23:00,16
30-12-00 22:00,15
30-12-00 21:00,14
30-12-00 20:00,15
30-12-00 19:00,16
30-12-00 18:00,15
30-12-00 17:00,14
30-12-00 16:00,12
30-12-00 15:00,11
30-12-00 14:00,11
30-12-00 13:00,13
30-12-00 12:00,14
30-12-00 11:00,
30-12-00 10:00,15
30-12-00 09:00,15
30-12-00 08:00,15
30-12-00 07:00,16
30-12-00 06:00,17
30-12-00 05:00,19
30-12-00 04:00,20
30-12-00 03:00,23
30-12-00 02:00,25
30-12-00 01:00,25
30-12-00 00:00,25
29-12-00 23:00,25
29-12-00 22:00,23
29-12-00 21:00,22
29-12-00 20:00,23
29-12-00 19:00,22
29-12-00 18:00,16
29-12-00 17:00,15
29-12-00 16:00,20
29-12-00 15:00,19
29-12-00 14:00,17
29-12-00 13:00,17
29-12-00 12:00,
29-12-00 11:00,15
29-12-00 10:00,15
29-12-00 09:00,15
29-12-00 08:00,14
29-12-00 07:00,13
29-12-00 06:00,13
29-12-00 05:00,13
29-12-00 04:00,13
29-12-00 03:00,14
29-12-00 02:00,14
29-12-00 01:00,14
29-12-00 00:00,17
28-12-00 23:00,24
28-12-00 22:00,28
28-12-00 21:00,36
28-12-00 20:00,41
28-12-00 19:00,49
28-12-00 18:00,47
28-12-00 17:00,44
28-12-00 16:00,35
28-12-00 15:00,27
28-12-00 14:00,24
28-12-00 13:00,24
28-12-00 12:00,
28-12-00 11:00,23
28-12-00 10:00,23
28-12-00 09:00,25
28-12-00 08:00,27
28-12-00 07:00,30
28-12-00 06:00,35
28-12-00 05:00,40
28-12-00 04:00,30
28-12-00 03:00,37
28-12-00 02:00,61
28-12-00 01:00,59
28-12-00 00:00,53
