Datum Zeit,Zittau-Ost BEN
,µg/m³
01-01-01 00:00,1.7
31-12-00 23:00,1.7
31-12-00 22:00,1.8
31-12-00 21:00,2.2
31-12-00 20:00,1.8
31-12-00 19:00,1.8
31-12-00 18:00,1.8
31-12-00 17:00,1.8
31-12-00 16:00,2.0
31-12-00 15:00,1.7
31-12-00 14:00,1.7
31-12-00 13:00,1.7
31-12-00 12:00,2.3
31-12-00 11:00,1.8
31-12-00 10:00,1.8
31-12-00 09:00,1.6
31-12-00 08:00,1.7
31-12-00 07:00,2.9
31-12-00 06:00,3.0
31-12-00 05:00,2.9
31-12-00 04:00,2.9
31-12-00 03:00,3.2
31-12-00 02:00,3.6
31-12-00 01:00,
31-12-00 00:00,
30-12-00 23:00,
30-12-00 22:00,
30-12-00 21:00,
30-12-00 20:00,7.8
30-12-00 19:00,15.4
30-12-00 18:00,16.4
30-12-00 17:00,5.1
30-12-00 16:00,3.9
30-12-00 15:00,4.3
30-12-00 14:00,7.3
30-12-00 13:00,6.3
30-12-00 12:00,8.3
30-12-00 11:00,7.1
30-12-00 10:00,5.6
30-12-00 09:00,5.0
30-12-00 08:00,3.0
30-12-00 07:00,3.0
30-12-00 06:00,2.6
30-12-00 05:00,2.7
30-12-00 04:00,2.6
30-12-00 03:00,2.3
30-12-00 02:00,3.0
30-12-00 01:00,2.8
30-12-00 00:00,2.2
29-12-00 23:00,2.6
29-12-00 22:00,4.5
29-12-00 21:00,7.3
29-12-00 20:00,4.7
29-12-00 19:00,3.6
29-12-00 18:00,8.8
29-12-00 17:00,3.2
29-12-00 16:00,3.1
29-12-00 15:00,2.8
29-12-00 14:00,2.4
29-12-00 13:00,3.2
29-12-00 12:00,3.2
29-12-00 11:00,3.1
29-12-00 10:00,2.5
29-12-00 09:00,2.9
29-12-00 08:00,2.7
29-12-00 07:00,1.9
29-12-00 06:00,1.8
29-12-00 05:00,2.0
29-12-00 04:00,2.4
29-12-00 03:00,3.0
29-12-00 02:00,2.3
29-12-00 01:00,2.0
29-12-00 00:00,3.7
28-12-00 23:00,2.3
28-12-00 22:00,2.7
28-12-00 21:00,4.2
28-12-00 20:00,9.0
28-12-00 19:00,6.4
28-12-00 18:00,5.9
28-12-00 17:00,7.1
28-12-00 16:00,5.1
28-12-00 15:00,5.7
28-12-00 14:00,4.9
28-12-00 13:00,4.6
28-12-00 12:00,4.4
28-12-00 11:00,4.7
28-12-00 10:00,5.5
28-12-00 09:00,4.1
28-12-00 08:00,3.2
28-12-00 07:00,3.0
28-12-00 06:00,3.0
28-12-00 05:00,3.5
28-12-00 04:00,3.5
28-12-00 03:00,3.3
28-12-00 02:00,3.4
28-12-00 01:00,3.6
28-12-00 00:00,3.7
27-12-00 23:00,3.5
27-12-00 22:00,3.2
27-12-00 21:00,3.1
27-12-00 20:00,3.8
27-12-00 19:00,3.3
27-12-00 18:00,3.3
27-12-00 17:00,3.4
27-12-00 16:00,3.6
27-12-00 15:00,4.0
27-12-00 14:00,4.0
27-12-00 13:00,3.9
27-12-00 12:00,3.8
27-12-00 11:00,4.2
27-12-00 10:00,4.0
27-12-00 09:00,4.3
27-12-00 08:00,4.9
27-12-00 07:00,4.9
27-12-00 06:00,
27-12-00 05:00,
27-12-00 04:00,
27-12-00 03:00,
