Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-01-16,3.30
30-01-16,3.22
29-01-16,6.87
28-01-16,6.65
27-01-16,4.96
26-01-16,16.02
25-01-16,13.64
24-01-16,16.27
23-01-16,30.00
22-01-16,25.24
21-01-16,15.15
20-01-16,25.41
19-01-16,25.14
18-01-16,20.74
17-01-16,20.31
16-01-16,21.30
15-01-16,13.70
14-01-16,7.50
13-01-16,3.01
12-01-16,3.15
11-01-16,13.99
10-01-16,27.22
09-01-16,18.80
08-01-16,6.00
07-01-16,74.15
06-01-16,102.01
05-01-16,45.19
04-01-16,31.59
03-01-16,37.92
02-01-16,32.22
01-01-16,32.41

