Datum Zeit,Plauen-Sued PM10
,µg/m³
31-01-16,12
30-01-16,9
29-01-16,14
28-01-16,15
27-01-16,11
26-01-16,19
25-01-16,12
24-01-16,13
23-01-16,26
22-01-16,31
21-01-16,28
20-01-16,29
19-01-16,30
18-01-16,20
17-01-16,14
16-01-16,20
15-01-16,13
14-01-16,18
13-01-16,8
12-01-16,8
11-01-16,11
10-01-16,12
09-01-16,14
08-01-16,10
07-01-16,42
06-01-16,45
05-01-16,28
04-01-16,37
03-01-16,31
02-01-16,17
01-01-16,44

