Datum Zeit,Bautzen PM10
,µg/m³
31-01-16,7
30-01-16,7
29-01-16,11
28-01-16,13
27-01-16,10
26-01-16,15
25-01-16,11
24-01-16,18
23-01-16,21
22-01-16,22
21-01-16,15
20-01-16,31
19-01-16,32
18-01-16,25
17-01-16,24
16-01-16,24
15-01-16,19
14-01-16,13
13-01-16,6
12-01-16,6
11-01-16,14
10-01-16,22
09-01-16,15
08-01-16,9
07-01-16,97
06-01-16,115
05-01-16,61
04-01-16,35
03-01-16,64
02-01-16,51
01-01-16,27

