Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-01-16,4.06
30-01-16,5.90
29-01-16,10.26
28-01-16,9.56
27-01-16,8.36
26-01-16,12.71
25-01-16,12.07
24-01-16,12.77
23-01-16,25.49
22-01-16,27.90
21-01-16,21.51
20-01-16,30.19
19-01-16,25.25
18-01-16,20.76
17-01-16,19.18
16-01-16,21.25
15-01-16,13.19
14-01-16,9.59
13-01-16,5.54
12-01-16,6.05
11-01-16,7.84
10-01-16,10.41
09-01-16,12.81
08-01-16,7.96
07-01-16,99.26
06-01-16,112.49
05-01-16,68.12
04-01-16,43.79
03-01-16,44.11
02-01-16,27.00
01-01-16,38.03

