Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-01-16,3.46
30-01-16,2.55
29-01-16,5.85
28-01-16,5.64
27-01-16,5.10
26-01-16,8.81
25-01-16,8.76
24-01-16,10.96
23-01-16,21.57
22-01-16,25.29
21-01-16,19.88
20-01-16,26.85
19-01-16,24.50
18-01-16,16.81
17-01-16,15.69
16-01-16,17.82
15-01-16,10.01
14-01-16,6.49
13-01-16,3.50
12-01-16,3.17
11-01-16,5.96
10-01-16,8.75
09-01-16,11.27
08-01-16,4.98
07-01-16,95.95
06-01-16,111.16
05-01-16,63.30
04-01-16,38.34
03-01-16,45.17
02-01-16,25.98
01-01-16,37.16

