Datum Zeit,Collmberg PM2.5
,µg/m³
31-01-16,2.97
30-01-16,2.27
29-01-16,5.68
28-01-16,4.22
27-01-16,5.62
26-01-16,8.10
25-01-16,4.03
24-01-16,7.48
23-01-16,11.77
22-01-16,16.84
21-01-16,10.80
20-01-16,22.12
19-01-16,18.61
18-01-16,12.48
17-01-16,13.41
16-01-16,14.96
15-01-16,5.82
14-01-16,4.96
13-01-16,2.66
12-01-16,2.77
11-01-16,3.47
10-01-16,6.80
09-01-16,8.39
08-01-16,4.63
07-01-16,84.57
06-01-16,97.80
05-01-16,64.08
04-01-16,38.12
03-01-16,46.21
02-01-16,26.43
01-01-16,11.44

