Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-01-16,4.09
30-01-16,5.05
29-01-16,9.57
28-01-16,9.01
27-01-16,7.41
26-01-16,17.52
25-01-16,15.66
24-01-16,17.75
23-01-16,30.59
22-01-16,24.42
21-01-16,16.57
20-01-16,26.95
19-01-16,26.89
18-01-16,23.61
17-01-16,19.72
16-01-16,21.91
15-01-16,15.33
14-01-16,11.29
13-01-16,4.04
12-01-16,5.28
11-01-16,15.42
10-01-16,26.72
09-01-16,18.67
08-01-16,8.47
07-01-16,73.95
06-01-16,100.27
05-01-16,47.00
04-01-16,30.37
03-01-16,35.66
02-01-16,30.23
01-01-16,32.00

