Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-01-16,4.54
30-01-16,4.28
29-01-16,8.93
28-01-16,9.44
27-01-16,7.83
26-01-16,18.07
25-01-16,17.76
24-01-16,17.70
23-01-16,30.25
22-01-16,24.43
21-01-16,16.73
20-01-16,26.26
19-01-16,26.33
18-01-16,20.92
17-01-16,19.77
16-01-16,21.57
15-01-16,13.72
14-01-16,8.58
13-01-16,3.95
12-01-16,4.65
11-01-16,12.58
10-01-16,25.34
09-01-16,17.87
08-01-16,8.71
07-01-16,73.10
06-01-16,102.22
05-01-16,44.28
04-01-16,29.65
03-01-16,39.22
02-01-16,33.18
01-01-16,38.01

