Datum Zeit,Leipzig-Mitte O3
,µg/m³
01-05-00 00:00,
30-04-00 23:00,61
30-04-00 22:00,52
30-04-00 21:00,62
30-04-00 20:00,69
30-04-00 19:00,53
30-04-00 18:00,60
30-04-00 17:00,63
30-04-00 16:00,72
30-04-00 15:00,71
30-04-00 14:00,64
30-04-00 13:00,63
30-04-00 12:00,52
30-04-00 11:00,42
30-04-00 10:00,32
30-04-00 09:00,25
30-04-00 08:00,20
30-04-00 07:00,16
30-04-00 06:00,10
30-04-00 05:00,11
30-04-00 04:00,14
30-04-00 03:00,10
30-04-00 02:00,10
30-04-00 01:00,7
30-04-00 00:00,
29-04-00 23:00,12
29-04-00 22:00,23
29-04-00 21:00,27
29-04-00 20:00,35
29-04-00 19:00,53
29-04-00 18:00,74
29-04-00 17:00,76
29-04-00 16:00,74
29-04-00 15:00,73
29-04-00 14:00,60
29-04-00 13:00,55
29-04-00 12:00,53
29-04-00 11:00,60
29-04-00 10:00,48
29-04-00 09:00,41
29-04-00 08:00,44
29-04-00 07:00,41
29-04-00 06:00,51
29-04-00 05:00,54
29-04-00 04:00,65
29-04-00 03:00,63
29-04-00 02:00,60
29-04-00 01:00,
29-04-00 00:00,58
28-04-00 23:00,62
28-04-00 22:00,57
28-04-00 21:00,50
28-04-00 20:00,42
28-04-00 19:00,46
28-04-00 18:00,64
28-04-00 17:00,77
28-04-00 16:00,78
28-04-00 15:00,91
28-04-00 14:00,81
28-04-00 13:00,67
28-04-00 12:00,64
28-04-00 11:00,47
28-04-00 10:00,35
28-04-00 09:00,29
28-04-00 08:00,26
28-04-00 07:00,21
28-04-00 06:00,38
28-04-00 05:00,54
28-04-00 04:00,68
28-04-00 03:00,72
28-04-00 02:00,71
28-04-00 01:00,
28-04-00 00:00,68
27-04-00 23:00,63
27-04-00 22:00,61
27-04-00 21:00,62
27-04-00 20:00,55
27-04-00 19:00,43
27-04-00 18:00,37
27-04-00 17:00,66
27-04-00 16:00,68
27-04-00 15:00,83
27-04-00 14:00,81
27-04-00 13:00,74
27-04-00 12:00,53
27-04-00 11:00,48
27-04-00 10:00,32
27-04-00 09:00,14
27-04-00 08:00,15
27-04-00 07:00,3
27-04-00 06:00,1
27-04-00 05:00,3
27-04-00 04:00,17
27-04-00 03:00,25
27-04-00 02:00,
27-04-00 01:00,41
27-04-00 00:00,41
26-04-00 23:00,46
26-04-00 22:00,38
26-04-00 21:00,33
26-04-00 20:00,44
26-04-00 19:00,68
26-04-00 18:00,76
26-04-00 17:00,81
26-04-00 16:00,68
26-04-00 15:00,55
26-04-00 14:00,51
26-04-00 13:00,52
26-04-00 12:00,39
26-04-00 11:00,35
26-04-00 10:00,22
26-04-00 09:00,11
26-04-00 08:00,4
26-04-00 07:00,2
26-04-00 06:00,2
26-04-00 05:00,3
26-04-00 04:00,14
26-04-00 03:00,17
26-04-00 02:00,
26-04-00 01:00,30
26-04-00 00:00,28
25-04-00 23:00,21
25-04-00 22:00,29
25-04-00 21:00,32
25-04-00 20:00,36
25-04-00 19:00,46
25-04-00 18:00,48
25-04-00 17:00,47
25-04-00 16:00,44
25-04-00 15:00,52
25-04-00 14:00,39
25-04-00 13:00,40
25-04-00 12:00,34
25-04-00 11:00,27
25-04-00 10:00,23
25-04-00 09:00,23
25-04-00 08:00,21
25-04-00 07:00,19
25-04-00 06:00,13
25-04-00 05:00,33
25-04-00 04:00,44
25-04-00 03:00,
25-04-00 02:00,46
25-04-00 01:00,49
25-04-00 00:00,51
24-04-00 23:00,46
24-04-00 22:00,42
24-04-00 21:00,44
24-04-00 20:00,48
24-04-00 19:00,38
24-04-00 18:00,37
24-04-00 17:00,36
24-04-00 16:00,26
24-04-00 15:00,25
24-04-00 14:00,27
24-04-00 13:00,37
24-04-00 12:00,41
24-04-00 11:00,41
24-04-00 10:00,42
24-04-00 09:00,48
24-04-00 08:00,53
24-04-00 07:00,49
24-04-00 06:00,40
24-04-00 05:00,34
24-04-00 04:00,28
24-04-00 03:00,
24-04-00 02:00,31
24-04-00 01:00,17
24-04-00 00:00,26
23-04-00 23:00,28
23-04-00 22:00,20
23-04-00 21:00,24
23-04-00 20:00,39
23-04-00 19:00,44
23-04-00 18:00,68
23-04-00 17:00,93
23-04-00 16:00,107
23-04-00 15:00,115
23-04-00 14:00,108
23-04-00 13:00,100
23-04-00 12:00,108
23-04-00 11:00,104
23-04-00 10:00,83
23-04-00 09:00,81
23-04-00 08:00,77
23-04-00 07:00,71
23-04-00 06:00,63
23-04-00 05:00,53
23-04-00 04:00,
23-04-00 03:00,56
23-04-00 02:00,54
23-04-00 01:00,33
23-04-00 00:00,32
22-04-00 23:00,34
22-04-00 22:00,44
22-04-00 21:00,57
22-04-00 20:00,70
22-04-00 19:00,101
22-04-00 18:00,110
22-04-00 17:00,114
22-04-00 16:00,116
22-04-00 15:00,117
22-04-00 14:00,110
22-04-00 13:00,102
22-04-00 12:00,93
22-04-00 11:00,73
22-04-00 10:00,66
22-04-00 09:00,47
22-04-00 08:00,40
22-04-00 07:00,17
22-04-00 06:00,8
22-04-00 05:00,15
22-04-00 04:00,
22-04-00 03:00,9
22-04-00 02:00,5
22-04-00 01:00,30
22-04-00 00:00,23
21-04-00 23:00,28
21-04-00 22:00,2
21-04-00 21:00,2
21-04-00 20:00,44
21-04-00 19:00,70
21-04-00 18:00,97
21-04-00 17:00,119
21-04-00 16:00,114
21-04-00 15:00,113
21-04-00 14:00,115
21-04-00 13:00,105
21-04-00 12:00,95
21-04-00 11:00,69
21-04-00 10:00,58
21-04-00 09:00,45
21-04-00 08:00,24
21-04-00 07:00,17
21-04-00 06:00,7
21-04-00 05:00,
21-04-00 04:00,17
21-04-00 03:00,31
21-04-00 02:00,36
21-04-00 01:00,15
21-04-00 00:00,2
20-04-00 23:00,5
20-04-00 22:00,3
20-04-00 21:00,6
20-04-00 20:00,33
20-04-00 19:00,57
20-04-00 18:00,66
20-04-00 17:00,71
20-04-00 16:00,67
20-04-00 15:00,51
20-04-00 14:00,53
20-04-00 13:00,48
20-04-00 12:00,38
20-04-00 11:00,21
20-04-00 10:00,9
20-04-00 09:00,5
20-04-00 08:00,4
20-04-00 07:00,1
20-04-00 06:00,1
20-04-00 05:00,
20-04-00 04:00,1
20-04-00 03:00,1
20-04-00 02:00,1
20-04-00 01:00,2
20-04-00 00:00,1
19-04-00 23:00,1
19-04-00 22:00,1
19-04-00 21:00,5
19-04-00 20:00,20
19-04-00 19:00,27
19-04-00 18:00,32
19-04-00 17:00,33
19-04-00 16:00,26
19-04-00 15:00,15
19-04-00 14:00,16
19-04-00 13:00,22
19-04-00 12:00,24
19-04-00 11:00,17
19-04-00 10:00,11
19-04-00 09:00,14
19-04-00 08:00,13
19-04-00 07:00,9
19-04-00 06:00,
19-04-00 05:00,30
19-04-00 04:00,40
19-04-00 03:00,42
19-04-00 02:00,53
19-04-00 01:00,63
19-04-00 00:00,50
18-04-00 23:00,60
18-04-00 22:00,50
18-04-00 21:00,51
18-04-00 20:00,53
18-04-00 19:00,43
18-04-00 18:00,61
18-04-00 17:00,62
18-04-00 16:00,62
18-04-00 15:00,60
18-04-00 14:00,66
18-04-00 13:00,53
18-04-00 12:00,50
18-04-00 11:00,41
18-04-00 10:00,31
18-04-00 09:00,24
18-04-00 08:00,18
18-04-00 07:00,16
18-04-00 06:00,
18-04-00 05:00,36
18-04-00 04:00,42
18-04-00 03:00,47
18-04-00 02:00,54
18-04-00 01:00,58
18-04-00 00:00,55
17-04-00 23:00,61
17-04-00 22:00,55
17-04-00 21:00,54
17-04-00 20:00,57
17-04-00 19:00,63
17-04-00 18:00,46
17-04-00 17:00,54
17-04-00 16:00,56
17-04-00 15:00,65
17-04-00 14:00,63
17-04-00 13:00,58
17-04-00 12:00,56
17-04-00 11:00,30
17-04-00 10:00,24
17-04-00 09:00,19
17-04-00 08:00,15
17-04-00 07:00,
17-04-00 06:00,3
17-04-00 05:00,10
17-04-00 04:00,22
17-04-00 03:00,37
17-04-00 02:00,48
17-04-00 01:00,50
17-04-00 00:00,28
16-04-00 23:00,28
16-04-00 22:00,25
16-04-00 21:00,21
16-04-00 20:00,35
16-04-00 19:00,65
16-04-00 18:00,78
16-04-00 17:00,82
16-04-00 16:00,93
16-04-00 15:00,88
16-04-00 14:00,86
16-04-00 13:00,83
16-04-00 12:00,78
16-04-00 11:00,73
16-04-00 10:00,74
16-04-00 09:00,76
16-04-00 08:00,67
16-04-00 07:00,
16-04-00 06:00,59
16-04-00 05:00,66
16-04-00 04:00,66
16-04-00 03:00,65
16-04-00 02:00,69
16-04-00 01:00,68
16-04-00 00:00,64
15-04-00 23:00,57
15-04-00 22:00,58
15-04-00 21:00,55
15-04-00 20:00,49
15-04-00 19:00,48
15-04-00 18:00,52
15-04-00 17:00,50
15-04-00 16:00,63
15-04-00 15:00,82
15-04-00 14:00,70
15-04-00 13:00,49
15-04-00 12:00,33
15-04-00 11:00,35
15-04-00 10:00,34
15-04-00 09:00,34
15-04-00 08:00,
15-04-00 07:00,22
15-04-00 06:00,16
15-04-00 05:00,21
15-04-00 04:00,21
15-04-00 03:00,29
15-04-00 02:00,27
15-04-00 01:00,20
15-04-00 00:00,22
14-04-00 23:00,28
14-04-00 22:00,40
14-04-00 21:00,42
14-04-00 20:00,49
14-04-00 19:00,53
14-04-00 18:00,68
14-04-00 17:00,67
14-04-00 16:00,67
14-04-00 15:00,65
14-04-00 14:00,57
14-04-00 13:00,42
14-04-00 12:00,49
14-04-00 11:00,45
14-04-00 10:00,48
14-04-00 09:00,49
14-04-00 08:00,
14-04-00 07:00,39
14-04-00 06:00,55
14-04-00 05:00,68
14-04-00 04:00,75
14-04-00 03:00,63
14-04-00 02:00,53
14-04-00 01:00,56
14-04-00 00:00,54
13-04-00 23:00,50
13-04-00 22:00,50
13-04-00 21:00,57
13-04-00 20:00,58
13-04-00 19:00,69
13-04-00 18:00,73
13-04-00 17:00,75
13-04-00 16:00,76
13-04-00 15:00,72
13-04-00 14:00,74
13-04-00 13:00,66
13-04-00 12:00,54
13-04-00 11:00,70
13-04-00 10:00,56
13-04-00 09:00,
13-04-00 08:00,36
13-04-00 07:00,28
13-04-00 06:00,19
13-04-00 05:00,33
13-04-00 04:00,45
13-04-00 03:00,49
13-04-00 02:00,47
13-04-00 01:00,49
13-04-00 00:00,56
12-04-00 23:00,46
12-04-00 22:00,37
12-04-00 21:00,24
12-04-00 20:00,55
12-04-00 19:00,57
12-04-00 18:00,55
12-04-00 17:00,47
12-04-00 16:00,48
12-04-00 15:00,55
12-04-00 14:00,49
12-04-00 13:00,21
12-04-00 12:00,12
12-04-00 11:00,10
12-04-00 10:00,11
12-04-00 09:00,
12-04-00 08:00,7
12-04-00 07:00,8
12-04-00 06:00,14
12-04-00 05:00,15
12-04-00 04:00,18
12-04-00 03:00,22
12-04-00 02:00,29
12-04-00 01:00,38
12-04-00 00:00,40
11-04-00 23:00,40
11-04-00 22:00,34
11-04-00 21:00,43
11-04-00 20:00,38
11-04-00 19:00,48
11-04-00 18:00,60
11-04-00 17:00,59
11-04-00 16:00,65
11-04-00 15:00,74
11-04-00 14:00,72
11-04-00 13:00,67
11-04-00 12:00,71
11-04-00 11:00,61
11-04-00 10:00,
11-04-00 09:00,18
11-04-00 08:00,4
11-04-00 07:00,3
11-04-00 06:00,7
11-04-00 05:00,16
11-04-00 04:00,24
11-04-00 03:00,14
11-04-00 02:00,31
11-04-00 01:00,31
11-04-00 00:00,18
10-04-00 23:00,16
10-04-00 22:00,17
10-04-00 21:00,25
10-04-00 20:00,36
10-04-00 19:00,54
10-04-00 18:00,57
10-04-00 17:00,60
10-04-00 16:00,60
10-04-00 15:00,68
10-04-00 14:00,65
10-04-00 13:00,60
10-04-00 12:00,46
10-04-00 11:00,40
10-04-00 10:00,
10-04-00 09:00,20
10-04-00 08:00,23
10-04-00 07:00,22
10-04-00 06:00,32
10-04-00 05:00,35
10-04-00 04:00,48
10-04-00 03:00,52
10-04-00 02:00,62
10-04-00 01:00,61
10-04-00 00:00,58
09-04-00 23:00,44
09-04-00 22:00,42
09-04-00 21:00,33
09-04-00 20:00,34
09-04-00 19:00,37
09-04-00 18:00,50
09-04-00 17:00,53
09-04-00 16:00,47
09-04-00 15:00,49
09-04-00 14:00,44
09-04-00 13:00,34
09-04-00 12:00,52
09-04-00 11:00,
09-04-00 10:00,44
09-04-00 09:00,34
09-04-00 08:00,31
09-04-00 07:00,32
09-04-00 06:00,30
09-04-00 05:00,26
09-04-00 04:00,28
09-04-00 03:00,22
09-04-00 02:00,30
09-04-00 01:00,36
09-04-00 00:00,37
08-04-00 23:00,35
08-04-00 22:00,36
08-04-00 21:00,32
08-04-00 20:00,52
08-04-00 19:00,60
08-04-00 18:00,60
08-04-00 17:00,53
08-04-00 16:00,62
08-04-00 15:00,80
08-04-00 14:00,58
08-04-00 13:00,55
08-04-00 12:00,52
08-04-00 11:00,
08-04-00 10:00,
08-04-00 09:00,31
08-04-00 08:00,29
08-04-00 07:00,40
08-04-00 06:00,43
08-04-00 05:00,45
08-04-00 04:00,44
08-04-00 03:00,32
08-04-00 02:00,22
08-04-00 01:00,16
08-04-00 00:00,13
07-04-00 23:00,8
07-04-00 22:00,6
07-04-00 21:00,3
07-04-00 20:00,2
07-04-00 19:00,8
07-04-00 18:00,9
07-04-00 17:00,14
07-04-00 16:00,19
07-04-00 15:00,21
07-04-00 14:00,30
07-04-00 13:00,27
