Datum Zeit,Goerlitz PM10
,µg/m³
30-09-04,18
29-09-04,22
28-09-04,26
27-09-04,
26-09-04,
25-09-04,
24-09-04,13
23-09-04,15
22-09-04,13
21-09-04,20
20-09-04,19
19-09-04,23
18-09-04,29
17-09-04,27
16-09-04,21
15-09-04,18
14-09-04,22
13-09-04,21
12-09-04,22
11-09-04,28
10-09-04,29
09-09-04,15
08-09-04,15
07-09-04,29
06-09-04,29
05-09-04,23
04-09-04,36
03-09-04,40
02-09-04,27
01-09-04,22

