Datum Zeit,Plauen-DWD O3
,µg/m³
01-10-04 00:00,2
30-09-04 23:00,1
30-09-04 22:00,1
30-09-04 21:00,2
30-09-04 20:00,10
30-09-04 19:00,22
30-09-04 18:00,41
30-09-04 17:00,55
30-09-04 16:00,56
30-09-04 15:00,54
30-09-04 14:00,53
30-09-04 13:00,54
30-09-04 12:00,50
30-09-04 11:00,47
30-09-04 10:00,41
30-09-04 09:00,35
30-09-04 08:00,29
30-09-04 07:00,26
30-09-04 06:00,24
30-09-04 05:00,31
30-09-04 04:00,37
30-09-04 03:00,36
30-09-04 02:00,47
30-09-04 01:00,44
30-09-04 00:00,52
29-09-04 23:00,55
29-09-04 22:00,61
29-09-04 21:00,51
29-09-04 20:00,49
29-09-04 19:00,44
29-09-04 18:00,47
29-09-04 17:00,46
29-09-04 16:00,50
29-09-04 15:00,47
29-09-04 14:00,44
29-09-04 13:00,45
29-09-04 12:00,40
29-09-04 11:00,33
29-09-04 10:00,27
29-09-04 09:00,22
29-09-04 08:00,21
29-09-04 07:00,22
29-09-04 06:00,26
29-09-04 05:00,23
29-09-04 04:00,18
29-09-04 03:00,18
29-09-04 02:00,19
29-09-04 01:00,21
29-09-04 00:00,19
28-09-04 23:00,21
28-09-04 22:00,19
28-09-04 21:00,16
28-09-04 20:00,14
28-09-04 19:00,18
28-09-04 18:00,19
28-09-04 17:00,25
28-09-04 16:00,29
28-09-04 15:00,29
28-09-04 14:00,26
28-09-04 13:00,25
28-09-04 12:00,27
28-09-04 11:00,22
28-09-04 10:00,20
28-09-04 09:00,8
28-09-04 08:00,2
28-09-04 07:00,2
28-09-04 06:00,1
28-09-04 05:00,6
28-09-04 04:00,10
28-09-04 03:00,12
28-09-04 02:00,10
28-09-04 01:00,10
28-09-04 00:00,14
27-09-04 23:00,14
27-09-04 22:00,14
27-09-04 21:00,18
27-09-04 20:00,21
27-09-04 19:00,26
27-09-04 18:00,29
27-09-04 17:00,32
27-09-04 16:00,31
27-09-04 15:00,31
27-09-04 14:00,32
27-09-04 13:00,36
27-09-04 12:00,
27-09-04 11:00,
27-09-04 10:00,23
27-09-04 09:00,15
27-09-04 08:00,16
27-09-04 07:00,12
27-09-04 06:00,12
27-09-04 05:00,12
27-09-04 04:00,10
27-09-04 03:00,7
27-09-04 02:00,11
27-09-04 01:00,11
27-09-04 00:00,15
26-09-04 23:00,14
26-09-04 22:00,7
26-09-04 21:00,12
26-09-04 20:00,9
26-09-04 19:00,12
26-09-04 18:00,17
26-09-04 17:00,26
26-09-04 16:00,33
26-09-04 15:00,42
26-09-04 14:00,45
26-09-04 13:00,43
26-09-04 12:00,46
26-09-04 11:00,49
26-09-04 10:00,48
26-09-04 09:00,42
26-09-04 08:00,25
26-09-04 07:00,26
26-09-04 06:00,28
26-09-04 05:00,31
26-09-04 04:00,25
26-09-04 03:00,22
26-09-04 02:00,24
26-09-04 01:00,20
26-09-04 00:00,27
25-09-04 23:00,29
25-09-04 22:00,36
25-09-04 21:00,44
25-09-04 20:00,54
25-09-04 19:00,57
25-09-04 18:00,61
25-09-04 17:00,62
25-09-04 16:00,62
25-09-04 15:00,64
25-09-04 14:00,63
25-09-04 13:00,61
25-09-04 12:00,55
25-09-04 11:00,56
25-09-04 10:00,57
25-09-04 09:00,57
25-09-04 08:00,56
25-09-04 07:00,55
25-09-04 06:00,49
25-09-04 05:00,37
25-09-04 04:00,27
25-09-04 03:00,30
25-09-04 02:00,35
25-09-04 01:00,35
25-09-04 00:00,32
24-09-04 23:00,25
24-09-04 22:00,30
24-09-04 21:00,36
24-09-04 20:00,31
24-09-04 19:00,35
24-09-04 18:00,55
24-09-04 17:00,59
24-09-04 16:00,61
24-09-04 15:00,61
24-09-04 14:00,60
24-09-04 13:00,66
24-09-04 12:00,61
24-09-04 11:00,57
24-09-04 10:00,40
24-09-04 09:00,35
24-09-04 08:00,37
24-09-04 07:00,36
24-09-04 06:00,40
24-09-04 05:00,46
24-09-04 04:00,47
24-09-04 03:00,48
24-09-04 02:00,56
24-09-04 01:00,58
24-09-04 00:00,57
23-09-04 23:00,60
23-09-04 22:00,63
23-09-04 21:00,66
23-09-04 20:00,62
23-09-04 19:00,57
23-09-04 18:00,65
23-09-04 17:00,66
23-09-04 16:00,30
23-09-04 15:00,29
23-09-04 14:00,30
23-09-04 13:00,40
23-09-04 12:00,48
23-09-04 11:00,43
23-09-04 10:00,44
23-09-04 09:00,51
23-09-04 08:00,55
23-09-04 07:00,58
23-09-04 06:00,60
23-09-04 05:00,66
23-09-04 04:00,74
23-09-04 03:00,77
23-09-04 02:00,78
23-09-04 01:00,69
23-09-04 00:00,44
22-09-04 23:00,38
22-09-04 22:00,42
22-09-04 21:00,48
22-09-04 20:00,55
22-09-04 19:00,51
22-09-04 18:00,50
22-09-04 17:00,51
22-09-04 16:00,53
22-09-04 15:00,54
22-09-04 14:00,54
22-09-04 13:00,55
22-09-04 12:00,55
22-09-04 11:00,53
22-09-04 10:00,51
22-09-04 09:00,59
22-09-04 08:00,60
22-09-04 07:00,59
22-09-04 06:00,60
22-09-04 05:00,59
22-09-04 04:00,58
22-09-04 03:00,59
22-09-04 02:00,63
22-09-04 01:00,53
22-09-04 00:00,57
21-09-04 23:00,60
21-09-04 22:00,61
21-09-04 21:00,64
21-09-04 20:00,67
21-09-04 19:00,74
21-09-04 18:00,73
21-09-04 17:00,75
21-09-04 16:00,74
21-09-04 15:00,75
21-09-04 14:00,76
21-09-04 13:00,80
21-09-04 12:00,80
21-09-04 11:00,78
21-09-04 10:00,67
21-09-04 09:00,57
21-09-04 08:00,61
21-09-04 07:00,55
21-09-04 06:00,55
21-09-04 05:00,63
21-09-04 04:00,65
21-09-04 03:00,64
21-09-04 02:00,66
21-09-04 01:00,69
21-09-04 00:00,70
20-09-04 23:00,70
20-09-04 22:00,68
20-09-04 21:00,70
20-09-04 20:00,71
20-09-04 19:00,69
20-09-04 18:00,76
20-09-04 17:00,69
20-09-04 16:00,62
20-09-04 15:00,64
20-09-04 14:00,71
20-09-04 13:00,69
20-09-04 12:00,61
20-09-04 11:00,55
20-09-04 10:00,45
20-09-04 09:00,26
20-09-04 08:00,29
20-09-04 07:00,29
20-09-04 06:00,17
20-09-04 05:00,14
20-09-04 04:00,13
20-09-04 03:00,7
20-09-04 02:00,11
20-09-04 01:00,17
20-09-04 00:00,26
19-09-04 23:00,39
19-09-04 22:00,46
19-09-04 21:00,45
