Datum Zeit,Annaberg-Buchholz NO
,µg/m³
01-10-04 00:00,4
30-09-04 23:00,11
30-09-04 22:00,29
30-09-04 21:00,26
30-09-04 20:00,42
30-09-04 19:00,63
30-09-04 18:00,73
30-09-04 17:00,31
30-09-04 16:00,15
30-09-04 15:00,28
30-09-04 14:00,21
30-09-04 13:00,18
30-09-04 12:00,20
30-09-04 11:00,31
30-09-04 10:00,18
30-09-04 09:00,22
30-09-04 08:00,27
30-09-04 07:00,43
30-09-04 06:00,29
30-09-04 05:00,7
30-09-04 04:00,2
30-09-04 03:00,2
30-09-04 02:00,1
30-09-04 01:00,1
30-09-04 00:00,1
29-09-04 23:00,1
29-09-04 22:00,5
29-09-04 21:00,2
29-09-04 20:00,5
29-09-04 19:00,16
29-09-04 18:00,27
29-09-04 17:00,29
29-09-04 16:00,17
29-09-04 15:00,34
29-09-04 14:00,23
29-09-04 13:00,23
29-09-04 12:00,26
29-09-04 11:00,27
29-09-04 10:00,41
29-09-04 09:00,51
29-09-04 08:00,114
29-09-04 07:00,160
29-09-04 06:00,141
29-09-04 05:00,40
29-09-04 04:00,8
29-09-04 03:00,2
29-09-04 02:00,12
29-09-04 01:00,4
29-09-04 00:00,3
28-09-04 23:00,10
28-09-04 22:00,19
28-09-04 21:00,12
28-09-04 20:00,16
28-09-04 19:00,27
28-09-04 18:00,28
28-09-04 17:00,31
28-09-04 16:00,29
28-09-04 15:00,29
28-09-04 14:00,39
28-09-04 13:00,30
28-09-04 12:00,24
28-09-04 11:00,22
28-09-04 10:00,29
28-09-04 09:00,41
28-09-04 08:00,108
28-09-04 07:00,156
28-09-04 06:00,125
28-09-04 05:00,47
28-09-04 04:00,5
28-09-04 03:00,4
28-09-04 02:00,2
28-09-04 01:00,4
28-09-04 00:00,7
27-09-04 23:00,7
27-09-04 22:00,13
27-09-04 21:00,12
27-09-04 20:00,8
27-09-04 19:00,17
27-09-04 18:00,37
27-09-04 17:00,29
27-09-04 16:00,37
27-09-04 15:00,30
27-09-04 14:00,32
27-09-04 13:00,30
27-09-04 12:00,21
27-09-04 11:00,24
27-09-04 10:00,32
27-09-04 09:00,82
27-09-04 08:00,132
27-09-04 07:00,176
27-09-04 06:00,105
27-09-04 05:00,41
27-09-04 04:00,10
27-09-04 03:00,3
27-09-04 02:00,2
27-09-04 01:00,1
27-09-04 00:00,1
26-09-04 23:00,5
26-09-04 22:00,17
26-09-04 21:00,13
26-09-04 20:00,14
26-09-04 19:00,35
26-09-04 18:00,15
26-09-04 17:00,20
26-09-04 16:00,14
26-09-04 15:00,17
26-09-04 14:00,20
26-09-04 13:00,14
26-09-04 12:00,12
26-09-04 11:00,10
26-09-04 10:00,11
26-09-04 09:00,15
26-09-04 08:00,9
26-09-04 07:00,3
26-09-04 06:00,3
26-09-04 05:00,7
26-09-04 04:00,4
26-09-04 03:00,6
26-09-04 02:00,8
26-09-04 01:00,6
26-09-04 00:00,4
25-09-04 23:00,5
25-09-04 22:00,7
25-09-04 21:00,4
25-09-04 20:00,3
25-09-04 19:00,5
25-09-04 18:00,9
25-09-04 17:00,8
25-09-04 16:00,9
25-09-04 15:00,8
25-09-04 14:00,6
25-09-04 13:00,15
25-09-04 12:00,7
25-09-04 11:00,10
25-09-04 10:00,8
25-09-04 09:00,13
25-09-04 08:00,7
25-09-04 07:00,4
25-09-04 06:00,5
25-09-04 05:00,1
25-09-04 04:00,1
25-09-04 03:00,1
25-09-04 02:00,2
25-09-04 01:00,7
25-09-04 00:00,5
24-09-04 23:00,8
24-09-04 22:00,22
24-09-04 21:00,20
24-09-04 20:00,16
24-09-04 19:00,43
24-09-04 18:00,27
24-09-04 17:00,18
24-09-04 16:00,18
24-09-04 15:00,19
24-09-04 14:00,29
24-09-04 13:00,22
24-09-04 12:00,14
24-09-04 11:00,15
24-09-04 10:00,15
24-09-04 09:00,21
24-09-04 08:00,20
24-09-04 07:00,36
24-09-04 06:00,27
24-09-04 05:00,8
24-09-04 04:00,2
24-09-04 03:00,1
24-09-04 02:00,1
24-09-04 01:00,1
24-09-04 00:00,1
23-09-04 23:00,2
23-09-04 22:00,2
23-09-04 21:00,2
23-09-04 20:00,6
23-09-04 19:00,9
23-09-04 18:00,33
23-09-04 17:00,41
23-09-04 16:00,65
23-09-04 15:00,63
23-09-04 14:00,68
23-09-04 13:00,59
