Datum Zeit,Schwartenberg PM2.5
,µg/m³
30-09-04,
29-09-04,3.75
28-09-04,
27-09-04,2.46
26-09-04,
25-09-04,0.29
24-09-04,
23-09-04,0.01
22-09-04,
21-09-04,3.65
20-09-04,
19-09-04,9.97
18-09-04,
17-09-04,5.51
16-09-04,
15-09-04,3.40
14-09-04,
13-09-04,4.07
12-09-04,
11-09-04,13.43
10-09-04,
09-09-04,3.57
08-09-04,
07-09-04,12.72
06-09-04,
05-09-04,10.57
04-09-04,
03-09-04,12.14
02-09-04,
01-09-04,6.24

