Datum Zeit,Dresden-Bergstraße PM10
,µg/m³
30-06-03,43
29-06-03,24
28-06-03,26
27-06-03,31
26-06-03,26
25-06-03,26
24-06-03,29
23-06-03,34
22-06-03,24
21-06-03,16
20-06-03,20
19-06-03,40
18-06-03,40
17-06-03,33
16-06-03,39
15-06-03,19
14-06-03,24
13-06-03,29
12-06-03,84
11-06-03,43
10-06-03,31
09-06-03,14
08-06-03,25
07-06-03,28
06-06-03,37
05-06-03,59
04-06-03,50
03-06-03,65
02-06-03,45
01-06-03,26

