Datum Zeit,Leipzig-Mitte PM10
,µg/m³
30-06-03,37
29-06-03,25
28-06-03,22
27-06-03,26
26-06-03,24
25-06-03,31
24-06-03,29
23-06-03,35
22-06-03,24
21-06-03,21
20-06-03,24
19-06-03,32
18-06-03,32
17-06-03,31
16-06-03,30
15-06-03,20
14-06-03,29
13-06-03,32
12-06-03,45
11-06-03,30
10-06-03,34
09-06-03,19
08-06-03,32
07-06-03,36
06-06-03,40
05-06-03,60
04-06-03,
03-06-03,51
02-06-03,39
01-06-03,26

