Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-05-04,20.28
30-05-04,15.44
29-05-04,14.07
28-05-04,11.40
27-05-04,11.83
26-05-04,13.38
25-05-04,13.19
24-05-04,9.94
23-05-04,5.57
22-05-04,6.81
21-05-04,11.67
20-05-04,12.89
19-05-04,14.40
18-05-04,16.31
17-05-04,13.03
16-05-04,8.58
15-05-04,17.82
14-05-04,13.11
13-05-04,13.67
12-05-04,21.38
11-05-04,16.67
10-05-04,15.49
09-05-04,9.46
08-05-04,8.85
07-05-04,9.83
06-05-04,13.08
05-05-04,11.07
04-05-04,15.85
03-05-04,14.68
02-05-04,14.68
01-05-04,20.04

