Datum Zeit,Dresden-Nord PM10_HVS
,µg/m³
30-11-17,
29-11-17,
28-11-17,
27-11-17,
26-11-17,
25-11-17,
24-11-17,
23-11-17,
22-11-17,
21-11-17,
20-11-17,
19-11-17,
18-11-17,
17-11-17,
16-11-17,28.37
15-11-17,23.40
14-11-17,19.27
13-11-17,13.61
12-11-17,8.20
11-11-17,10.19
10-11-17,16.17
09-11-17,57.08
08-11-17,39.98
07-11-17,23.34
06-11-17,20.08
05-11-17,26.86
04-11-17,27.48
03-11-17,27.28
02-11-17,20.95
01-11-17,16.64

