Datum,Zeit,BEN,NO,NO2,O3,PM10_HVS,PM10_TEOM,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-05-01,,,,,,35.39,,,
2018-05-01,01:00,,2,31,14,,99,,1.9
2018-05-01,02:00,,1,25,21,,99,,2.3
2018-05-01,03:00,,1,23,27,,88,,2.5
2018-05-01,04:00,,1,16,28,,74,,1.9
2018-05-01,05:00,,1,17,17,,61,,1.5
2018-05-01,06:00,,2,18,15,,88,,1.5
2018-05-01,07:00,,5,22,19,,93,,1.8
2018-05-01,08:00,,3,21,25,,108,,2.0
2018-05-01,09:00,,3,21,39,,84,,2.9
2018-05-01,10:00,,2,15,58,,39,,3.8
2018-05-01,11:00,,1,7,78,,19,,4.1
2018-05-01,12:00,,1,6,85,,13,,3.1
2018-05-01,13:00,,1,6,92,,8,,2.6
2018-05-01,14:00,,1,5,95,,7,,2.2
2018-05-01,15:00,,1,5,99,,7,,1.7
2018-05-01,16:00,,1,5,100,,8,,1.6
2018-05-01,17:00,,1,6,97,,7,,1.7
2018-05-01,18:00,,1,6,94,,7,,1.7
2018-05-01,19:00,,1,6,91,,4,,2.0
2018-05-01,20:00,,1,6,84,,6,,2.0
2018-05-01,21:00,,1,10,69,,7,,1.3
2018-05-01,22:00,,1,17,52,,9,,1.1
2018-05-01,23:00,,1,22,32,,5,,0.5
2018-05-02,,,,,,16.55,,,
2018-05-02,00:00,,1,22,21,,8,,1.3
2018-05-02,01:00,,1,12,23,,11,,1.1
2018-05-02,02:00,,1,13,16,,11,,1.1
2018-05-02,03:00,,1,11,17,,10,,0.5
2018-05-02,04:00,,1,14,25,,10,,0.5
2018-05-02,05:00,,1,19,24,,10,,1.1
2018-05-02,06:00,,3,27,19,,11,,1.1
2018-05-02,07:00,,5,39,12,,13,,1.0
2018-05-02,08:00,,4,24,32,,13,,1.6
2018-05-02,09:00,,4,15,50,,11,,1.9
2018-05-02,10:00,,2,9,68,,6,,2.3
2018-05-02,11:00,,1,9,73,,15,,2.0
2018-05-02,12:00,,1,7,78,,21,,2.0
2018-05-02,13:00,,1,6,87,,14,,2.2
2018-05-02,14:00,,1,9,85,,15,,4.8
2018-05-02,15:00,,1,9,89,,16,,4.1
2018-05-02,16:00,,2,17,85,,17,,17.0
2018-05-02,17:00,,2,17,82,,18,,4.7
2018-05-02,18:00,,1,13,81,,19,,3.6
2018-05-02,19:00,,1,11,78,,19,,3.3
2018-05-02,20:00,,1,10,72,,21,,2.9
2018-05-02,21:00,,1,19,59,,23,,2.6
2018-05-02,22:00,,1,14,51,,23,,2.0
2018-05-02,23:00,,1,11,45,,25,,1.4
2018-05-03,,,,,,23.13,,,
2018-05-03,00:00,,1,12,37,,28,,1.3
2018-05-03,01:00,,1,10,27,,21,,1.2
2018-05-03,02:00,,1,10,38,,25,,1.3
2018-05-03,03:00,,1,8,34,,24,,1.1
2018-05-03,04:00,,3,19,12,,21,,0.5
2018-05-03,05:00,,3,20,10,,18,,0.5
2018-05-03,06:00,,8,23,5,,21,,0.5
2018-05-03,07:00,,10,25,9,,23,,0.5
2018-05-03,08:00,,2,15,26,,24,,1.1
2018-05-03,09:00,,2,13,38,,29,,1.4
2018-05-03,10:00,,2,13,43,,29,,1.5
2018-05-03,11:00,,2,13,39,,23,,1.5
2018-05-03,12:00,,2,19,38,,20,,2.4
2018-05-03,13:00,,3,25,32,,30,,4.2
2018-05-03,14:00,,2,16,40,,29,,3.1
2018-05-03,15:00,,1,13,48,,29,,2.5
2018-05-03,16:00,,1,12,58,,27,,2.7
2018-05-03,17:00,,1,13,62,,22,,3.2
2018-05-03,18:00,,1,15,58,,19,,3.8
2018-05-03,19:00,,1,16,52,,20,,3.2
2018-05-03,20:00,,1,18,45,,23,,2.6
2018-05-03,21:00,,1,17,44,,24,,2.3
2018-05-03,22:00,,1,18,40,,21,,2.0
2018-05-03,23:00,,1,12,42,,21,,1.9
2018-05-04,00:00,,1,9,55,,20,,1.7
