Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-05-01,01:00,,1,25,38,33,2.2
2018-05-01,02:00,,1,22,35,35,3.7
2018-05-01,03:00,,1,14,47,37,3.3
2018-05-01,04:00,,1,8,67,36,2.0
2018-05-01,05:00,,1,4,78,18,1.6
2018-05-01,06:00,,1,8,57,12,1.4
2018-05-01,07:00,,1,11,49,16,1.3
2018-05-01,08:00,,1,11,43,11,1.4
2018-05-01,09:00,,1,18,41,4,2.3
2018-05-01,10:00,,1,10,61,6,2.6
2018-05-01,11:00,,1,5,73,12,1.6
2018-05-01,12:00,,1,4,78,11,2.2
2018-05-01,13:00,,1,3,82,5,1.8
2018-05-01,14:00,,1,3,84,7,1.5
2018-05-01,15:00,,1,3,88,4,1.4
2018-05-01,16:00,,1,3,90,0,1.3
