Datum Zeit,Freiberg PM10
,µg/m³
28-02-03,78
27-02-03,75
26-02-03,63
25-02-03,62
24-02-03,55
23-02-03,40
22-02-03,45
21-02-03,48
20-02-03,27
19-02-03,26
18-02-03,53
17-02-03,48
16-02-03,20
15-02-03,35
14-02-03,60
13-02-03,58
12-02-03,59
11-02-03,67
10-02-03,60
09-02-03,37
08-02-03,36
07-02-03,25
06-02-03,18
05-02-03,21
04-02-03,15
03-02-03,5
02-02-03,13
01-02-03,20

