Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-07-14,10.09
30-07-14,14.09
29-07-14,16.34
28-07-14,14.93
27-07-14,21.01
26-07-14,
25-07-14,
24-07-14,9.81
23-07-14,11.69
22-07-14,11.05
21-07-14,25.79
20-07-14,19.22
19-07-14,19.05
18-07-14,15.35
17-07-14,14.02
16-07-14,12.08
15-07-14,12.00
14-07-14,8.92
13-07-14,14.08
12-07-14,7.88
11-07-14,11.18
10-07-14,8.87
09-07-14,7.09
08-07-14,13.21
07-07-14,7.88
06-07-14,7.16
05-07-14,11.08
04-07-14,11.87
03-07-14,10.13
02-07-14,8.13
01-07-14,7.79

