Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-07-14,9.82
30-07-14,14.33
29-07-14,15.49
28-07-14,11.03
27-07-14,10.30
26-07-14,12.67
25-07-14,6.71
24-07-14,8.89
23-07-14,9.28
22-07-14,10.14
21-07-14,24.56
20-07-14,17.00
19-07-14,20.23
18-07-14,13.26
17-07-14,12.88
16-07-14,12.55
15-07-14,8.01
14-07-14,4.54
13-07-14,5.88
12-07-14,11.71
11-07-14,6.79
10-07-14,2.71
09-07-14,2.14
08-07-14,11.05
07-07-14,6.93
06-07-14,5.73
05-07-14,7.99
04-07-14,8.57
03-07-14,6.94
02-07-14,7.25
01-07-14,4.88

