Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-07-14,8.24
30-07-14,11.64
29-07-14,11.00
28-07-14,14.69
27-07-14,11.71
26-07-14,12.12
25-07-14,8.04
24-07-14,9.45
23-07-14,10.12
22-07-14,11.62
21-07-14,20.10
20-07-14,15.51
19-07-14,20.74
18-07-14,16.61
17-07-14,14.46
16-07-14,12.38
15-07-14,9.39
14-07-14,5.70
13-07-14,7.02
12-07-14,7.94
11-07-14,7.71
10-07-14,2.74
09-07-14,4.41
08-07-14,
07-07-14,6.91
06-07-14,5.39
05-07-14,8.51
04-07-14,8.95
03-07-14,7.05
02-07-14,6.94
01-07-14,5.30

