Datum Zeit,Collmberg PM2.5
,µg/m³
31-07-14,6.88
30-07-14,7.12
29-07-14,12.64
28-07-14,12.40
27-07-14,12.27
26-07-14,10.29
25-07-14,5.67
24-07-14,7.13
23-07-14,9.38
22-07-14,9.21
21-07-14,22.00
20-07-14,13.43
19-07-14,14.92
18-07-14,9.59
17-07-14,9.28
16-07-14,9.05
15-07-14,9.38
14-07-14,5.51
13-07-14,4.99
12-07-14,5.62
11-07-14,6.67
10-07-14,4.65
09-07-14,2.86
08-07-14,7.40
07-07-14,5.02
06-07-14,5.26
05-07-14,8.70
04-07-14,7.63
03-07-14,5.13
02-07-14,4.68
01-07-14,5.17

