Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-07-14,9.83
30-07-14,19.09
29-07-14,
28-07-14,23.61
27-07-14,15.29
26-07-14,14.00
25-07-14,14.00
24-07-14,13.31
23-07-14,12.98
22-07-14,14.05
21-07-14,27.27
20-07-14,17.69
19-07-14,23.90
18-07-14,22.53
17-07-14,18.80
16-07-14,16.94
15-07-14,12.86
14-07-14,8.72
13-07-14,9.17
12-07-14,10.85
11-07-14,11.77
10-07-14,6.83
09-07-14,19.07
08-07-14,31.07
07-07-14,9.83
06-07-14,6.99
05-07-14,10.43
04-07-14,11.08
03-07-14,11.05
02-07-14,9.86
01-07-14,8.99

