Datum Zeit,Dresden-Bergstraße PM10
,µg/m³
31-07-14,20
30-07-14,30
29-07-14,36
28-07-14,38
27-07-14,26
26-07-14,24
25-07-14,26
24-07-14,23
23-07-14,27
22-07-14,28
21-07-14,41
20-07-14,25
19-07-14,34
18-07-14,34
17-07-14,32
16-07-14,30
15-07-14,24
14-07-14,19
13-07-14,18
12-07-14,25
11-07-14,27
10-07-14,14
09-07-14,
08-07-14,
07-07-14,19
06-07-14,12
05-07-14,20
04-07-14,26
03-07-14,22
02-07-14,21
01-07-14,20

