Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-07-14,7.97
30-07-14,10.26
29-07-14,
28-07-14,12.67
27-07-14,
26-07-14,11.37
25-07-14,10.19
24-07-14,8.55
23-07-14,12.32
22-07-14,11.08
21-07-14,26.83
20-07-14,19.48
19-07-14,18.60
18-07-14,14.31
17-07-14,12.65
16-07-14,11.05
15-07-14,10.68
14-07-14,7.54
13-07-14,6.98
12-07-14,6.65
11-07-14,9.47
10-07-14,6.75
09-07-14,4.77
08-07-14,10.53
07-07-14,7.72
06-07-14,7.68
05-07-14,11.05
04-07-14,10.88
03-07-14,7.54
02-07-14,5.45
01-07-14,4.89

