Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-07-14,8.86
30-07-14,16.69
29-07-14,14.00
28-07-14,15.94
27-07-14,15.00
26-07-14,15.18
25-07-14,11.54
24-07-14,9.22
23-07-14,10.66
22-07-14,11.92
21-07-14,28.25
20-07-14,16.35
19-07-14,20.15
18-07-14,15.59
17-07-14,14.75
16-07-14,13.44
15-07-14,10.41
14-07-14,7.54
13-07-14,9.55
12-07-14,11.86
11-07-14,10.59
10-07-14,6.45
09-07-14,4.84
08-07-14,16.67
07-07-14,8.60
06-07-14,7.48
05-07-14,9.91
04-07-14,12.03
03-07-14,11.28
02-07-14,9.63
01-07-14,7.58

