Datum Zeit,Klingenthal O3
,µg/m³
01-07-00 00:00,32
30-06-00 23:00,39
30-06-00 22:00,57
30-06-00 21:00,68
30-06-00 20:00,69
30-06-00 19:00,76
30-06-00 18:00,86
30-06-00 17:00,89
30-06-00 16:00,85
30-06-00 15:00,88
30-06-00 14:00,89
30-06-00 13:00,83
30-06-00 12:00,72
30-06-00 11:00,66
30-06-00 10:00,65
30-06-00 09:00,57
30-06-00 08:00,28
30-06-00 07:00,14
30-06-00 06:00,10
30-06-00 05:00,11
30-06-00 04:00,16
30-06-00 03:00,
30-06-00 02:00,25
30-06-00 01:00,31
30-06-00 00:00,38
29-06-00 23:00,46
29-06-00 22:00,54
29-06-00 21:00,66
29-06-00 20:00,70
29-06-00 19:00,75
29-06-00 18:00,74
29-06-00 17:00,74
29-06-00 16:00,72
29-06-00 15:00,76
29-06-00 14:00,79
29-06-00 13:00,72
29-06-00 12:00,71
29-06-00 11:00,70
29-06-00 10:00,57
29-06-00 09:00,59
29-06-00 08:00,24
29-06-00 07:00,7
29-06-00 06:00,3
29-06-00 05:00,6
29-06-00 04:00,
29-06-00 03:00,14
29-06-00 02:00,20
29-06-00 01:00,27
29-06-00 00:00,34
28-06-00 23:00,44
28-06-00 22:00,55
28-06-00 21:00,67
28-06-00 20:00,74
28-06-00 19:00,81
28-06-00 18:00,82
28-06-00 17:00,86
28-06-00 16:00,89
28-06-00 15:00,84
28-06-00 14:00,82
28-06-00 13:00,81
28-06-00 12:00,76
28-06-00 11:00,74
28-06-00 10:00,73
28-06-00 09:00,58
28-06-00 08:00,25
28-06-00 07:00,12
28-06-00 06:00,4
28-06-00 05:00,3
28-06-00 04:00,
28-06-00 03:00,12
28-06-00 02:00,15
28-06-00 01:00,21
28-06-00 00:00,25
27-06-00 23:00,35
27-06-00 22:00,45
27-06-00 21:00,60
27-06-00 20:00,69
27-06-00 19:00,72
27-06-00 18:00,73
27-06-00 17:00,73
27-06-00 16:00,71
27-06-00 15:00,70
27-06-00 14:00,70
27-06-00 13:00,69
27-06-00 12:00,70
27-06-00 11:00,68
27-06-00 10:00,61
27-06-00 09:00,64
27-06-00 08:00,60
27-06-00 07:00,52
27-06-00 06:00,35
27-06-00 05:00,
27-06-00 04:00,57
27-06-00 03:00,55
27-06-00 02:00,43
27-06-00 01:00,57
27-06-00 00:00,69
26-06-00 23:00,50
26-06-00 22:00,53
26-06-00 21:00,66
26-06-00 20:00,65
26-06-00 19:00,65
26-06-00 18:00,67
26-06-00 17:00,69
26-06-00 16:00,70
26-06-00 15:00,70
26-06-00 14:00,70
26-06-00 13:00,58
26-06-00 12:00,61
26-06-00 11:00,63
26-06-00 10:00,53
26-06-00 09:00,49
26-06-00 08:00,45
26-06-00 07:00,39
26-06-00 06:00,48
26-06-00 05:00,
26-06-00 04:00,50
26-06-00 03:00,49
26-06-00 02:00,55
26-06-00 01:00,57
26-06-00 00:00,46
25-06-00 23:00,37
25-06-00 22:00,41
25-06-00 21:00,55
25-06-00 20:00,70
25-06-00 19:00,69
25-06-00 18:00,68
25-06-00 17:00,68
25-06-00 16:00,65
25-06-00 15:00,71
25-06-00 14:00,64
25-06-00 13:00,59
25-06-00 12:00,59
25-06-00 11:00,54
25-06-00 10:00,54
25-06-00 09:00,47
25-06-00 08:00,44
25-06-00 07:00,45
25-06-00 06:00,
25-06-00 05:00,42
25-06-00 04:00,23
25-06-00 03:00,15
25-06-00 02:00,18
25-06-00 01:00,18
25-06-00 00:00,19
24-06-00 23:00,27
24-06-00 22:00,37
24-06-00 21:00,46
24-06-00 20:00,62
24-06-00 19:00,66
24-06-00 18:00,77
24-06-00 17:00,78
24-06-00 16:00,83
24-06-00 15:00,76
24-06-00 14:00,66
24-06-00 13:00,69
24-06-00 12:00,64
24-06-00 11:00,71
24-06-00 10:00,74
24-06-00 09:00,69
24-06-00 08:00,60
24-06-00 07:00,26
24-06-00 06:00,
24-06-00 05:00,17
24-06-00 04:00,25
24-06-00 03:00,32
24-06-00 02:00,40
24-06-00 01:00,48
24-06-00 00:00,57
23-06-00 23:00,69
23-06-00 22:00,82
23-06-00 21:00,87
23-06-00 20:00,96
23-06-00 19:00,106
23-06-00 18:00,104
23-06-00 17:00,104
23-06-00 16:00,102
23-06-00 15:00,100
23-06-00 14:00,85
23-06-00 13:00,73
23-06-00 12:00,71
23-06-00 11:00,66
23-06-00 10:00,73
23-06-00 09:00,62
23-06-00 08:00,60
23-06-00 07:00,
23-06-00 06:00,36
23-06-00 05:00,25
23-06-00 04:00,34
23-06-00 03:00,36
23-06-00 02:00,48
23-06-00 01:00,54
23-06-00 00:00,65
22-06-00 23:00,86
22-06-00 22:00,94
22-06-00 21:00,101
22-06-00 20:00,103
22-06-00 19:00,109
22-06-00 18:00,109
22-06-00 17:00,115
22-06-00 16:00,131
22-06-00 15:00,146
22-06-00 14:00,148
22-06-00 13:00,148
22-06-00 12:00,143
22-06-00 11:00,135
22-06-00 10:00,144
22-06-00 09:00,127
22-06-00 08:00,86
22-06-00 07:00,
22-06-00 06:00,31
22-06-00 05:00,47
22-06-00 04:00,61
22-06-00 03:00,64
22-06-00 02:00,63
22-06-00 01:00,63
22-06-00 00:00,64
21-06-00 23:00,69
21-06-00 22:00,73
21-06-00 21:00,95
21-06-00 20:00,119
21-06-00 19:00,146
21-06-00 18:00,175
21-06-00 17:00,170
21-06-00 16:00,158
21-06-00 15:00,149
21-06-00 14:00,160
21-06-00 13:00,163
21-06-00 12:00,165
21-06-00 11:00,162
21-06-00 10:00,141
21-06-00 09:00,106
21-06-00 08:00,
21-06-00 07:00,43
21-06-00 06:00,28
21-06-00 05:00,35
21-06-00 04:00,55
21-06-00 03:00,60
21-06-00 02:00,65
21-06-00 01:00,67
21-06-00 00:00,69
20-06-00 23:00,72
20-06-00 22:00,82
20-06-00 21:00,105
20-06-00 20:00,137
20-06-00 19:00,160
20-06-00 18:00,163
20-06-00 17:00,157
20-06-00 16:00,162
20-06-00 15:00,161
20-06-00 14:00,156
20-06-00 13:00,145
20-06-00 12:00,147
20-06-00 11:00,144
20-06-00 10:00,129
20-06-00 09:00,110
20-06-00 08:00,
20-06-00 07:00,42
20-06-00 06:00,15
20-06-00 05:00,25
20-06-00 04:00,39
20-06-00 03:00,48
20-06-00 02:00,53
20-06-00 01:00,56
20-06-00 00:00,60
19-06-00 23:00,57
19-06-00 22:00,63
19-06-00 21:00,80
19-06-00 20:00,102
19-06-00 19:00,120
19-06-00 18:00,133
19-06-00 17:00,136
19-06-00 16:00,130
19-06-00 15:00,129
19-06-00 14:00,123
19-06-00 13:00,122
19-06-00 12:00,118
19-06-00 11:00,119
19-06-00 10:00,112
19-06-00 09:00,
19-06-00 08:00,57
19-06-00 07:00,29
19-06-00 06:00,9
19-06-00 05:00,17
19-06-00 04:00,30
19-06-00 03:00,35
19-06-00 02:00,37
19-06-00 01:00,38
19-06-00 00:00,39
18-06-00 23:00,43
18-06-00 22:00,53
18-06-00 21:00,72
18-06-00 20:00,92
18-06-00 19:00,104
18-06-00 18:00,106
18-06-00 17:00,105
18-06-00 16:00,108
18-06-00 15:00,105
18-06-00 14:00,111
18-06-00 13:00,112
18-06-00 12:00,109
18-06-00 11:00,105
18-06-00 10:00,99
18-06-00 09:00,
18-06-00 08:00,55
18-06-00 07:00,31
18-06-00 06:00,15
18-06-00 05:00,16
18-06-00 04:00,18
18-06-00 03:00,22
18-06-00 02:00,24
18-06-00 01:00,26
18-06-00 00:00,29
17-06-00 23:00,36
17-06-00 22:00,43
17-06-00 21:00,59
17-06-00 20:00,79
17-06-00 19:00,89
17-06-00 18:00,88
17-06-00 17:00,88
17-06-00 16:00,89
17-06-00 15:00,86
17-06-00 14:00,87
17-06-00 13:00,85
17-06-00 12:00,82
17-06-00 11:00,77
17-06-00 10:00,
17-06-00 09:00,73
17-06-00 08:00,73
17-06-00 07:00,69
17-06-00 06:00,65
17-06-00 05:00,69
17-06-00 04:00,75
17-06-00 03:00,59
17-06-00 02:00,21
17-06-00 01:00,20
17-06-00 00:00,24
16-06-00 23:00,32
16-06-00 22:00,45
16-06-00 21:00,73
16-06-00 20:00,79
16-06-00 19:00,81
16-06-00 18:00,86
16-06-00 17:00,83
16-06-00 16:00,84
16-06-00 15:00,80
16-06-00 14:00,77
16-06-00 13:00,79
16-06-00 12:00,77
16-06-00 11:00,75
16-06-00 10:00,
16-06-00 09:00,71
16-06-00 08:00,65
16-06-00 07:00,65
16-06-00 06:00,59
16-06-00 05:00,61
16-06-00 04:00,17
16-06-00 03:00,11
16-06-00 02:00,11
16-06-00 01:00,14
16-06-00 00:00,15
15-06-00 23:00,
15-06-00 22:00,47
15-06-00 21:00,59
15-06-00 20:00,64
15-06-00 19:00,68
15-06-00 18:00,75
