Datum Zeit,Schwartenberg PM2.5
,µg/m³
30-06-00,9.50
29-06-00,
28-06-00,4.90
27-06-00,
26-06-00,3.04
25-06-00,
24-06-00,5.32
23-06-00,
22-06-00,14.01
21-06-00,
20-06-00,19.17
19-06-00,
18-06-00,5.32
17-06-00,
16-06-00,4.56
15-06-00,
14-06-00,
13-06-00,
12-06-00,9.64
11-06-00,
10-06-00,23.15
09-06-00,
08-06-00,9.89
07-06-00,
06-06-00,8.71
05-06-00,
04-06-00,13.85
03-06-00,
02-06-00,10.33
01-06-00,

